run_id,scenario,evolve,stress,time,mean_n,mean_w,mean_q,var_n,var_w,var_q,min_z,spatial_covariance_bonus,cov_w_q,cov_w_bq,cov_w_prey_gain,persistent_window_label
SPTS_001,unstressed,False,0.0,0.0,4.833333333280862,0.6416666666967904,0.6726147415697105,2.2821823298549397e-09,4.137942734269306e-11,1.0171530379113635e-10,1.1914941044143204,-7.504175249134259e-11,4.513326038373479e-13,-2.7079956230350024e-14,-8.639330169439471e-12,unstressed
SPTS_001,unstressed,False,0.0,5.0,4.833333340541548,0.6416666625186941,0.6726147415697105,5.915727374913992e-11,2.3166351006271143e-11,1.0171530379113635e-10,1.191654681559696,1.2597430653269782e-11,-4.457232202748976e-11,2.6743393216492364e-12,1.6303702542680545e-11,unstressed
SPTS_001,unstressed,False,0.0,10.0,4.833333361773448,0.6416666505736561,0.6726147415697105,9.169031749284535e-11,3.4379220639208566e-11,1.0171530379113635e-10,1.1916532557871633,1.4031317160312003e-11,-5.290615290594072e-11,3.1743691743563802e-12,1.9795105365944868e-11,unstressed
SPTS_001,unstressed,False,0.0,15.0,4.833333378996794,0.6416666408846052,0.6726147415697105,1.0993298250076003e-10,4.046377645825755e-11,1.0171530379113635e-10,1.1916517267048867,1.4110700324532197e-11,-5.5686947627943854e-11,3.3412168576766218e-12,2.1111768182869563e-11,unstressed
SPTS_001,unstressed,False,0.0,20.0,4.8333333910815135,0.641666634086469,0.6726147415697105,1.2008632977498801e-10,4.381268463395767e-11,1.0171530379113635e-10,1.1916505768259065,1.4023042127994314e-11,-5.688997493383206e-11,3.4133984960299445e-12,2.1727846593921566e-11,unstressed
SPTS_001,unstressed,False,0.0,25.0,4.833333399215681,0.6416666295107298,0.6726147415697105,1.2581539249686766e-10,4.569224581022003e-11,1.0171530379113635e-10,1.1916499047011846,1.3938680223897907e-11,-5.747733814726817e-11,3.4486402888361284e-12,2.2044505140145633e-11,unstressed
SPTS_001,unstressed,False,0.0,30.0,4.833333404608036,0.6416666264773734,0.6726147415697105,1.2908733783231174e-10,4.676244251097664e-11,1.0171530379113635e-10,1.191649504895445,1.3879328138002039e-11,-5.778347757330029e-11,3.467008654398066e-12,2.221542893899524e-11,unstressed
SPTS_001,unstressed,False,0.0,35.0,4.833333408159788,0.6416666244794187,0.6726147415697105,1.3097610284140702e-10,4.7379049582426564e-11,1.0171530379113635e-10,1.1916492648518804,1.384097633248987e-11,-5.794961853436415e-11,3.4769771120619036e-12,2.23105141802009e-11,unstressed
SPTS_001,unstressed,False,0.0,40.0,4.833333410491711,0.6416666231676552,0.6726147415697105,1.3207691417835398e-10,4.7737959148043454e-11,1.0171530379113635e-10,1.1916491198667045,1.3817006203481262e-11,-5.8042297845145103e-11,3.482537870708764e-12,2.2364526507891707e-11,unstressed
SPTS_001,unstressed,False,0.0,45.0,4.833333412019798,0.6416666223080717,0.6726147415697105,1.3272401426949259e-10,4.794874715900435e-11,1.0171530379113635e-10,1.1916490319088862,1.3802268366090478e-11,-5.8095044009309795e-11,3.4857026405586476e-12,2.2395689924779137e-11,unstressed
SPTS_001,unstressed,False,0.0,50.0,4.833333413019763,0.6416666217455707,0.6726147415697105,1.3310732236869023e-10,4.807352200254165e-11,1.0171530379113635e-10,1.1916489783556679,1.3793290728795528e-11,-5.812552597445728e-11,3.4875315584674996e-12,2.241389150262959e-11,unstressed
SPTS_001,unstressed,False,0.0,55.0,4.83333341367341,0.6416666213778808,0.6726147415697105,1.3333591982681637e-10,4.81478963659188e-11,1.0171530379113635e-10,1.191648945648593,1.3787772365786186e-11,-5.81433556723895e-11,3.4886013403434324e-12,2.2424628370071453e-11,unstressed
SPTS_001,unstressed,False,0.0,60.0,4.8333334141002835,0.6416666211377562,0.6726147415697105,1.3347307340292496e-10,4.8192500910819454e-11,1.0171530379113635e-10,1.1916489256179097,1.3784429316491161e-11,-5.8153887388652306e-11,3.4892332433192014e-12,2.243101415968823e-11,unstressed
SPTS_001,unstressed,False,0.0,65.0,4.833333414378835,0.641666620981066,0.6726147415697105,1.3355580239732809e-10,4.821939666193522e-11,1.0171530379113635e-10,1.1916489133198518,1.3782357930993085e-11,-5.816015888761426e-11,3.489609533256919e-12,2.2434838527027233e-11,unstressed
