run_id,model_type,evolve,stress_label,stress,time,mean_n,mean_w,mean_q,mean_z,var_n,var_w,var_q,min_z,spatial_growth,meanfield_growth,spatial_covariance_bonus,cov_w_q,cov_w_bq,cov_w_n,cov_w_prey_gain,predator_fraction_in_low_q,predator_fraction_in_high_gain,area_fraction_low_q,area_fraction_high_gain,predator_low_q_enrichment,predator_high_gain_enrichment,persistent_tail_label
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,54.0,4.8333333357117,0.6416666667378197,0.6726147415742663,1.1916666642171474,0.0,0.0,0.0,1.1916666642171474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,57.0,4.83333333584749,0.6416666667401181,0.6726147415745186,1.191666664079059,0.0,0.0,0.0,1.191666664079059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,60.0,4.83333333598328,0.6416666667424163,0.6726147415747709,1.1916666639409708,0.0,0.0,0.0,1.1916666639409708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,63.0,4.833333336119071,0.6416666667447147,0.6726147415750232,1.1916666638028812,0.0,0.0,0.0,1.1916666638028812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,66.0,4.833333336254861,0.641666666747013,0.6726147415752756,1.191666663664793,0.0,0.0,0.0,1.191666663664793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,69.0,4.833333336390651,0.6416666667493113,0.6726147415755279,1.1916666635267048,0.0,0.0,0.0,1.1916666635267048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,72.0,4.833333336526441,0.6416666667516097,0.6726147415757803,1.1916666633886162,0.0,0.0,0.0,1.1916666633886162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,75.0,4.833333336662231,0.6416666667539079,0.6726147415760326,1.191666663250528,0.0,0.0,0.0,1.191666663250528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,78.0,4.833333336798021,0.6416666667562063,0.672614741576285,1.1916666631124395,0.0,0.0,0.0,1.1916666631124395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,81.0,4.833333336933812,0.6416666667585046,0.6726147415765373,1.1916666629743502,0.0,0.0,0.0,1.1916666629743502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,84.0,4.8333333347656735,0.6416666667019703,0.6726147415792033,1.191666665199023,0.0,0.0,0.0,1.191666665199023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,87.0,4.833333333335647,0.6416666666653931,0.6726147415807183,1.1916666666656273,0.0,0.0,0.0,1.1916666666656273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,90.0,4.833333333335489,0.6416666666654297,0.6726147415807019,1.1916666666657485,0.0,0.0,0.0,1.1916666666657485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,93.0,4.833333333335419,0.6416666666654688,0.6726147415806862,1.1916666666657787,0.0,0.0,0.0,1.1916666666657787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,96.0,4.833333333335353,0.6416666666655074,0.6726147415806716,1.1916666666658067,0.0,0.0,0.0,1.1916666666658067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,99.0,4.833333333335286,0.6416666666655452,0.6726147415806569,1.1916666666658355,0.0,0.0,0.0,1.1916666666658355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,102.0,4.83333333333522,0.6416666666655829,0.6726147415806422,1.1916666666658635,0.0,0.0,0.0,1.1916666666658635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,105.0,4.833333333335156,0.6416666666656204,0.6726147415806281,1.191666666665891,0.0,0.0,0.0,1.191666666665891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,108.0,4.833333333335094,0.6416666666656562,0.6726147415806155,1.1916666666659164,0.0,0.0,0.0,1.1916666666659164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,111.0,4.833333333335032,0.6416666666656913,0.6726147415806029,1.1916666666659435,0.0,0.0,0.0,1.1916666666659435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,114.0,4.8333333333349735,0.6416666666657248,0.6726147415805903,1.1916666666659688,0.0,0.0,0.0,1.1916666666659688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,117.0,4.833333333334916,0.6416666666657584,0.6726147415805777,1.1916666666659927,0.0,0.0,0.0,1.1916666666659927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,120.0,4.833333333334859,0.6416666666657909,0.6726147415805663,1.1916666666660172,0.0,0.0,0.0,1.1916666666660172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,123.0,4.833333333334805,0.6416666666658222,0.6726147415805558,1.19166666666604,0.0,0.0,0.0,1.19166666666604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
ODE_EVO_S0,ODE,True,S0_unstressed,0.0,126.0,4.833333333334753,0.6416666666658515,0.6726147415805453,1.1916666666660622,0.0,0.0,0.0,1.1916666666660622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,tail_persistent
