stress,treatment,evolve_q,initial_n,initial_w,initial_q,frozen_q_value,solver,rtol,atol,T,n_eval,classification,persistent_predator,min_w,threshold_crossed,threshold_safe_persistent,finite_time_status,tail_mean_w,tail_min_w,tail_slope_w,tail_slope_floor_w,tail_mean_q,q_change_from_initial,final_n,final_w,final_q,min_z,physical,solver_success,notes
0.0,frozen_q,False,4.833333333333334,0.6416666666666666,0.672614741580259,0.672614741580259,LSODA,1e-08,1e-10,3000.0,1201,persistent,True,0.6416666661290971,False,True,persistent_above_threshold,0.641666666666666,0.6416666666666662,0.0,-0.00021388888888888868,0.6726147415802589,-1.1102230246251565e-16,4.833333333333335,0.6416666666666662,0.672614741580259,1.191666666666425,True,True,q frozen at q_star_s0
0.0,evolving_q,True,4.833333333333334,0.6416666666666666,0.672614741580259,0.672614741580259,LSODA,1e-08,1e-10,3000.0,1201,persistent,True,0.6416666661300362,False,True,persistent_above_threshold,0.6416666666666665,0.6416666666666665,0.0,-0.00021388888888888884,0.6726147415802589,-1.1102230246251565e-16,4.833333333333334,0.6416666666666665,0.6726147415802588,1.1916666666664404,True,True,q evolves under selection
0.0029054305555555565,frozen_q,False,4.833333333333334,0.6416666666666666,0.672614741580259,0.672614741580259,LSODA,1e-08,1e-10,3000.0,1201,persistent,True,0.6209021506444227,False,True,persistent_above_threshold,0.6209021506444229,0.6209021506444227,-4.74192812753146e-19,-0.00020696738354814096,0.6726147415802589,-1.1102230246251565e-16,4.869382324901145,0.6209021506444227,0.672614741580259,1.176382191121099,True,True,q frozen at q_star_s0
0.0029054305555555565,evolving_q,True,4.833333333333334,0.6416666666666666,0.672614741580259,0.672614741580259,LSODA,1e-08,1e-10,3000.0,1201,persistent,True,0.6248748335306991,False,True,persistent_above_threshold,0.6416666662326189,0.6416666648088667,2.8080920022997943e-12,-0.00021388888874420632,0.6642074191673403,-0.00840732241291875,4.833333333354202,0.6416666666547169,0.6642074190218831,1.179290309176827,True,True,q evolves under selection
0.005810861111111113,frozen_q,False,4.833333333333334,0.6416666666666666,0.672614741580259,0.672614741580259,LSODA,1e-08,1e-10,3000.0,1201,persistent,True,0.5998181783667957,False,True,persistent_above_threshold,0.5998181784109379,0.5998181784109254,3.318300313435673e-17,-0.00019993939280364597,0.6726147415802589,-1.1102230246251565e-16,4.905985920017266,0.5998181784109503,0.672614741580259,1.160862568204306,True,True,q frozen at q_star_s0
0.005810861111111113,evolving_q,True,4.833333333333334,0.6416666666666666,0.672614741580259,0.672614741580259,LSODA,1e-08,1e-10,3000.0,1201,persistent,True,0.6079864368287602,False,True,persistent_above_threshold,0.6416666657534387,0.641666663016469,4.083929131163985e-12,-0.00021388888858447957,0.6558000967649894,-0.01681464481526962,4.833333334195984,0.6416666661739165,0.6558000966224702,1.1668219507693536,True,True,q evolves under selection
0.008716291666666669,frozen_q,False,4.833333333333334,0.6416666666666666,0.672614741580259,0.672614741580259,LSODA,1e-08,1e-10,3000.0,1201,persistent,True,0.578399535140653,False,True,persistent_above_threshold,0.5783995357198669,0.5783995356900803,-7.416567590108502e-14,-0.00019279984523995565,0.6726147415802589,-1.1102230246251565e-16,4.943170531979876,0.5783995356900803,0.672614741580259,1.1450965985730324,True,True,q frozen at q_star_s0
0.008716291666666669,evolving_q,True,4.833333333333334,0.6416666666666666,0.672614741580259,0.672614741580259,LSODA,1e-08,1e-10,3000.0,1201,persistent,True,0.5910153914896007,False,True,persistent_above_threshold,0.641666666296579,0.6416666655063209,2.016820526088479e-12,-0.00021388888876552634,0.6473927740162126,-0.025221967564046377,4.8333333332574915,0.6416666667098796,0.6473927738783561,1.1542648793643635,True,True,q evolves under selection
0.011621722222222226,frozen_q,False,4.833333333333334,0.6416666666666666,0.672614741580259,0.672614741580259,LSODA,1e-08,1e-10,3000.0,1201,persistent,True,0.5566297609855827,False,True,persistent_above_threshold,0.556629761019118,0.5566297610191178,-7.694054898429745e-19,-0.00018554325367303932,0.6726147415802589,-1.1102230246251565e-16,4.980964739302891,0.5566297610191178,0.672614741580259,1.129072166328683,True,True,q frozen at q_star_s0
0.011621722222222226,evolving_q,True,4.833333333333334,0.6416666666666666,0.672614741580259,0.672614741580259,LSODA,1e-08,1e-10,3000.0,1201,persistent,True,0.5739772935856932,False,True,persistent_above_threshold,0.6416666666711809,0.6416666666670346,-1.398312397839412e-14,-0.00021388888889039363,0.6389854513287979,-0.03362929025146111,4.833333333332686,0.6416666666670346,0.6389854513301582,1.141577017301274,True,True,q evolves under selection
0.014527152777777783,frozen_q,False,4.833333333333334,0.6416666666666666,0.672614741580259,0.672614741580259,LSODA,1e-08,1e-10,3000.0,1201,persistent,True,0.5344909970478171,False,True,persistent_above_threshold,0.5344909971399001,0.5344909971398925,-2.0459838967036412e-17,-0.00017816366571330003,0.6726147415802589,-1.1102230246251565e-16,5.019399543733152,0.5344909971398925,0.672614741580259,1.1127761257231206,True,True,q frozen at q_star_s0
0.014527152777777783,evolving_q,True,4.833333333333334,0.6416666666666666,0.672614741580259,0.672614741580259,LSODA,1e-08,1e-10,3000.0,1201,persistent,True,0.5568105246699527,False,True,persistent_above_threshold,0.6416666665004639,0.641666666305172,-4.778846820315868e-13,-0.00021388888883348795,0.6305781288213704,-0.04203661275888859,4.833333333422417,0.6416666666161578,0.6305781287840707,1.1287975956430132,True,True,q evolves under selection
