stress,lambda_value,n_star,w_star,q_star,zero_mode,max_real_growth,eigenvalues_real,eigenvalues_imag,within_discrete_mode_range,notes
0.11765625,0.0,4.833333333333334,0.6416666666666666,0.3321577847439918,True,-0.023581704072263975,-4.538905089;-0.02358170407;-0.02358170407,0;0.01515330439;-0.01515330439,True,"continuous lambda scan over mode-equivalent range i,j=0..64"
0.11765625,0.33744490506562613,4.833333333333334,0.6416666666666666,0.3321577847439918,False,-0.026112471628892908,-4.542279677;-0.02611247163;-0.02611247163,0;0.01377492808;-0.01377492808,True,"continuous lambda scan over mode-equivalent range i,j=0..64"
0.11765625,0.6748898101312523,4.833333333333334,0.6416666666666666,0.3321577847439918,False,-0.028643239236960133,-4.545654264;-0.02864323924;-0.02864323924,0;0.01218404937;-0.01218404937,True,"continuous lambda scan over mode-equivalent range i,j=0..64"
0.11765625,1.0123347151968785,4.833333333333334,0.6416666666666666,0.3321577847439918,False,-0.031174006896408375,-4.549028852;-0.0311740069;-0.0311740069,0;0.0102825036;-0.0102825036,True,"continuous lambda scan over mode-equivalent range i,j=0..64"
0.11765625,1.3497796202625045,4.833333333333334,0.6416666666666666,0.3321577847439918,False,-0.03370477460718045,-4.552403439;-0.03370477461;-0.03370477461,0;0.007847617965;-0.007847617965,True,"continuous lambda scan over mode-equivalent range i,j=0..64"
0.11765625,1.6872245253281306,4.833333333333334,0.6416666666666666,0.3321577847439918,False,-0.036235542369219095,-4.555778026;-0.03623554237;-0.03623554237,0;0.004002092149;-0.004002092149,True,"continuous lambda scan over mode-equivalent range i,j=0..64"
0.11765625,2.024669430393757,4.833333333333334,0.6416666666666666,0.3321577847439918,False,-0.03320077176306455,-4.559152613;-0.0443318486;-0.03320077176,0;0;0,True,"continuous lambda scan over mode-equivalent range i,j=0..64"
0.11765625,2.362114335459383,4.833333333333334,0.6416666666666666,0.3321577847439918,False,-0.03238692819231628,-4.5625272;-0.0502072279;-0.03238692819,0;0;0,True,"continuous lambda scan over mode-equivalent range i,j=0..64"
0.11765625,2.699559240525009,4.833333333333334,0.6416666666666666,0.3321577847439918,False,-0.03245991229909986,-4.565901787;-0.05519577963;-0.0324599123,0;0;0,True,"continuous lambda scan over mode-equivalent range i,j=0..64"
0.11765625,3.037004145590635,4.833333333333334,0.6416666666666666,0.3321577847439918,False,-0.03292385849129836,-4.569276373;-0.05979336937;-0.03292385849,0;0;0,True,"continuous lambda scan over mode-equivalent range i,j=0..64"
0.11765625,3.374449050656261,4.833333333333334,0.6416666666666666,0.3321577847439918,False,-0.03361918273805246,-4.57265096;-0.06415958115;-0.03361918274,0;0;0,True,"continuous lambda scan over mode-equivalent range i,j=0..64"
