shape_label,stress,baseline_state,perturbation_type,seed,T,time,mean_n,mean_w,mean_q
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1640.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1680.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1720.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1760.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1800.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1840.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1880.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1920.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1960.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2000.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2040.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2080.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2120.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2160.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2200.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2240.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2280.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2320.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2360.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2400.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2440.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2480.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2520.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2560.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2600.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2640.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2680.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2720.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2760.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2800.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2840.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2880.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2920.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2960.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,3000.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,3040.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,3080.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,3120.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,3160.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,3200.0,4.833333333333334,0.6416666666666664,0.214150791737
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,0.0,4.833333333333334,0.6416666666666664,0.22632752226317082
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,40.0,4.914830022945747,0.5989084718624584,0.22253978022240278
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,80.0,4.923106048611603,0.5950387478752022,0.21679805602820373
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,120.0,4.897736551299641,0.6085000765088404,0.21228612030143817
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,160.0,4.848500513609678,0.6340376755390178,0.21024932747104147
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,200.0,4.805255603155389,0.6561953751989874,0.21082544242173784
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,240.0,4.807040329652862,0.6552178851933028,0.21234202923044215
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,280.0,4.8182224985235775,0.6494533510906214,0.21344916407984255
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,320.0,4.826898398474736,0.6449787495288702,0.21402147055740858
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,360.0,4.831797444267696,0.6424528130677709,0.21422450046084346
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,400.0,4.833767709625262,0.6414389347030496,0.2142430878787469
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,440.0,4.834098099180305,0.6412708209773019,0.2142039606018501
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,480.0,4.83382555123672,0.6414127068256408,0.21416754197461635
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,520.0,4.8335135311238755,0.6415740498519019,0.21414928977383557
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,560.0,4.833339593015041,0.6416637216496998,0.21414487447178887
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,600.0,4.833287732585132,0.6416903225452086,0.21414645867992874
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,640.0,4.833294946396827,0.6416864954711725,0.2141489711907777
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,680.0,4.833315291829744,0.6416759577563664,0.21415054500506975
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,720.0,4.83332961093645,0.6416685667647322,0.2141511043546357
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,760.0,4.833335405860115,0.6416655857876302,0.2141511121051074
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,800.0,4.833336043147863,0.6416652649978731,0.21415096136291278
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,840.0,4.833334928698155,0.6416658439389973,0.21415083808410404
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,880.0,4.833333854412571,0.6416663991317793,0.21415078135290855
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,920.0,4.833333304105221,0.6416666826917907,0.21415077037967511
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,960.0,4.833333163531002,0.6416667546659582,0.21415077749040812
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1000.0,4.833333205083188,0.6416667328852288,0.21415078628551648
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1040.0,4.833333277947526,0.6416666951720058,0.21415079135670273
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1080.0,4.833333324836797,0.6416666709799632,0.2141507929623752
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1120.0,4.833333342059174,0.6416666621278426,0.21415079282870259
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1160.0,4.833333342733134,0.6416666618071172,0.21415079227032946
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1200.0,4.833333338438125,0.6416666640353501,0.21415079185907437
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1240.0,4.833333334796643,0.6416666659164125,0.21415079168533388
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1280.0,4.833333333075881,0.6416666668026073,0.21415079166118228
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1320.0,4.83333333271541,0.6416666669866515,0.2141507916905639
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1360.0,4.83333333290892,0.6416666668857085,0.21415079172096477
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1400.0,4.8333333331657045,0.6416666667528798,0.21415079173715065
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1440.0,4.833333333317773,0.641666666674455,0.21415079174162388
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1480.0,4.833333333367901,0.6416666666487163,0.2141507917406742
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1520.0,4.833333333365491,0.6416666666500495,0.2141507917386546
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1560.0,4.833333333349479,0.6416666666583484,0.21415079173729779
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1600.0,4.833333333337283,0.6416666666646456,0.2141507917367742
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1640.0,4.833333333331978,0.6416666666673763,0.2141507917367345
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1680.0,4.833333333331135,0.6416666666678043,0.21415079173684873
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1720.0,4.833333333331934,0.6416666666673889,0.21415079173695095
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1760.0,4.833333333332809,0.6416666666669362,0.21415079173700197
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1800.0,4.833333333333297,0.6416666666666846,0.2141507917370149
