shape_label,gamma_r,gamma_a,gamma_b,stress,q0,w0_scale,classification,basin_label,tail_mean_w,tail_mean_q,q_change,physical,notes
linear_reference,1.0,1.0,1.0,0.1584375,0.5,0.2,declining_transient,transient_basin,0.7839195054863171,0.186217538153119,-0.31378246184688097,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.5,0.5,declining_transient,transient_basin,0.6893616227945576,0.20750676232301188,-0.2924932376769881,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.5,1.0,declining_transient,transient_basin,0.6759730782468838,0.20990979724412342,-0.2900902027558766,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.5,1.5,declining_transient,transient_basin,0.6831527153969703,0.20864978294787395,-0.29135021705212605,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.6,0.02,recovery_transient,transient_basin,1.308563667255325,0.00044627877938214686,-0.5995537212206178,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.6,0.05,recovery_transient,transient_basin,1.3053247530831684,0.002191155672357517,-0.5978088443276425,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.6,0.1,recovery_transient,transient_basin,1.2969136762189022,0.006641405589521322,-0.5933585944104787,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.6,0.2,recovery_transient,transient_basin,1.2766894733622296,0.0169072979558802,-0.5830927020441198,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.6,0.5,recovery_transient,transient_basin,1.2343415715811608,0.036760810876552606,-0.5632391891234474,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.6,1.0,recovery_transient,transient_basin,1.2205382918046543,0.042836228721086715,-0.5571637712789133,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.6,1.5,recovery_transient,transient_basin,1.2283228041722947,0.03943121335462942,-0.5605687866453706,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.7,0.02,recovery_transient,transient_basin,0.46272280952668016,4.594799165561823e-06,-0.6999954052008344,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.7,0.05,recovery_transient,transient_basin,0.723054953836242,8.903157683496773e-06,-0.6999910968423164,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.7,0.1,recovery_transient,transient_basin,0.9054307941913803,2.0948376512888406e-05,-0.6999790516234871,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.7,0.2,recovery_transient,transient_basin,1.062689033037632,5.182463770682602e-05,-0.6999481753622931,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.7,0.5,recovery_transient,transient_basin,1.1994921811008223,0.00012507519571082677,-0.6998749248042891,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.7,1.0,recovery_transient,transient_basin,1.2245589753656294,0.00015289251626569468,-0.6998471074837342,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.7,1.5,recovery_transient,transient_basin,1.205277890844526,0.00013778478079275552,-0.6998622152192072,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.8,0.02,recovery_transient,transient_basin,0.00047004799494910566,5.637109366439828e-06,-0.7999943628906336,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.8,0.05,recovery_transient,transient_basin,0.0011455467118761404,5.653662752012921e-06,-0.7999943463372481,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.8,0.1,recovery_transient,transient_basin,0.0021918588344134577,5.680230231663046e-06,-0.7999943197697684,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.8,0.2,recovery_transient,transient_basin,0.003987883682494944,5.730354976692051e-06,-0.7999942696450234,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.8,0.5,recovery_transient,transient_basin,0.007253253549879414,5.859384534142531e-06,-0.7999941406154659,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.8,1.0,recovery_transient,transient_basin,0.008306019422865633,6.024949143138907e-06,-0.7999939750508569,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.8,1.5,recovery_transient,transient_basin,0.007556871766916097,6.151073447927685e-06,-0.7999938489265521,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.9,0.02,extinct_steady,extinct_basin,1.4521694529628996e-07,9.94602150513877e-06,-0.8999900539784949,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.9,0.05,extinct_steady,extinct_basin,3.4933780100954886e-07,9.967627392345757e-06,-0.8999900323726077,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.9,0.1,extinct_steady,extinct_basin,6.519006694924703e-07,1.0002655053214129e-05,-0.8999899973449468,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.9,0.2,extinct_steady,extinct_basin,1.0836854372758974e-06,1.0069851950651923e-05,-0.8999899301480494,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.9,0.5,extinct_steady,extinct_basin,1.7388987211519942e-06,1.02484323599364e-05,-0.89998975156764,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.9,1.0,extinct_steady,extinct_basin,1.961170215816082e-06,1.0489281148911785e-05,-0.8999895107188511,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.9,1.5,extinct_steady,extinct_basin,1.7916511785811271e-06,1.0680802909799937e-05,-0.8999893191970902,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.0,0.02,persistent_steady,persistent_basin,1.2791728418511716,0.0,0.0,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.0,0.05,persistent_steady,persistent_basin,1.2791728418510087,0.0,0.0,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.0,0.1,persistent_steady,persistent_basin,1.279172841851262,0.0,0.0,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.0,0.2,persistent_steady,persistent_basin,1.2791728418519843,0.0,0.0,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.0,0.5,persistent_steady,persistent_basin,1.2791728418510093,0.0,0.0,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.0,1.0,persistent_steady,persistent_basin,1.279172841850998,0.0,0.0,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.0,1.5,persistent_steady,persistent_basin,1.2791728418510089,0.0,0.0,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.1,0.02,declining_transient,transient_basin,0.641048586188432,0.19558349474056985,0.09558349474056985,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.1,0.05,persistent_steady,persistent_basin,0.6416644497196106,0.1955427271410303,0.09554272714103029,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.1,0.1,persistent_steady,persistent_basin,0.6416667234129407,0.19554266474242246,0.09554266474242246,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.1,0.2,persistent_steady,persistent_basin,0.641666648336367,0.19554266150296856,0.09554266150296856,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.1,0.5,persistent_steady,persistent_basin,0.6416666670248212,0.1955426600830424,0.09554266008304241,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.1,1.0,persistent_steady,persistent_basin,0.6416666685914861,0.19554266006899898,0.09554266006899897,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.1,1.5,persistent_steady,persistent_basin,0.6416666678395697,0.19554266017524782,0.09554266017524782,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.2,0.02,declining_transient,transient_basin,0.993265078442234,0.1110844413300725,-0.08891555866992751,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.2,0.05,declining_transient,transient_basin,0.6410595516792931,0.19572131944848348,-0.004278680551516534,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.2,0.1,persistent_steady,persistent_basin,0.6416619956564545,0.1955434492246259,-0.004456550775374102,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.2,0.2,persistent_steady,persistent_basin,0.6416666546258335,0.19554266643824908,-0.004457333561750931,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.2,0.5,persistent_steady,persistent_basin,0.6416666680623637,0.19554266026198058,-0.004457339738019428,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.2,1.0,persistent_steady,persistent_basin,0.641666666145929,0.19554266052710736,-0.004457339472892646,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.2,1.5,persistent_steady,persistent_basin,0.6416666661768378,0.19554266049194471,-0.004457339508055297,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.3,0.02,recovery_transient,transient_basin,1.2784507058927717,0.0003740952753962293,-0.29962590472460376,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.3,0.05,recovery_transient,transient_basin,1.2313338876787283,0.023192605144278896,-0.2768073948557211,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.3,0.1,declining_transient,transient_basin,0.867031928831302,0.1476874017727197,-0.1523125982272803,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.3,0.2,declining_transient,transient_basin,0.6408754681011337,0.1956980433340084,-0.1043019566659916,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.3,0.5,persistent_steady,persistent_basin,0.6416667115187441,0.19554257988452756,-0.10445742011547243,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.3,1.0,persistent_steady,persistent_basin,0.6416667951644862,0.19554265929828415,-0.10445734070171583,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.3,1.5,persistent_steady,persistent_basin,0.641666945562662,0.19554263884525303,-0.10445736115474696,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.4,0.02,recovery_transient,transient_basin,0.2388477054127688,1.4741131288003582e-06,-0.39999852588687124,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.4,0.05,recovery_transient,transient_basin,0.9037649793456675,8.211856926185257e-06,-0.39999178814307385,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.4,0.1,recovery_transient,transient_basin,1.2788502591516762,0.00015857713461441838,-0.3998414228653856,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.4,0.2,recovery_transient,transient_basin,1.2734405456404532,0.00294687427232473,-0.3970531257276753,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.4,0.5,declining_transient,transient_basin,1.171825657288661,0.048564421199385525,-0.3514355788006145,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.4,1.0,declining_transient,transient_basin,1.0832578852806483,0.0815556111299477,-0.31844438887005233,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.16486816,0.4,1.5,declining_transient,transient_basin,1.1210716369064286,0.0680386101830487,-0.33196138981695134,True,ode_solve_success
