case_label,followup_case_id,run_role,stress,baseline_state,perturbation_type,seed,T,time,mean_n,mean_w,mean_q
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,115.0,3.4978937734909716,1.309386484702063,0.0
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,120.0,3.4978930192901014,1.3093868340191046,0.0
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,125.0,3.4978928148648127,1.3093869287010829,0.0
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,130.0,3.497892759455603,1.3093869543645102,0.0
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,135.0,3.4978927444370105,1.3093869613205482,0.0
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,140.0,3.49789274036624,1.3093869632059734,0.0
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,145.0,3.4978927392628645,1.309386963717015,0.0
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,150.0,3.497892738963797,1.3093869638555318,0.0
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,155.0,3.4978927388827334,1.3093869638930768,0.0
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,160.0,3.4978927388607626,1.3093869639032538,0.0
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,165.0,3.497892738854807,1.309386963906012,0.0
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,170.0,3.4978927388531904,1.3093869639067601,0.0
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,175.0,3.4978927388527548,1.3093869639069626,0.0
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,180.0,3.497892738852636,1.3093869639070166,0.0
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,basin_boundary_state_local_defense_patch_s0.158438_seed20260702,control,0.1584375,basin_boundary_state,homogeneous_control,20260702,1600.0,185.0,3.4978927388526055,1.3093869639070317,0.0
