stress,lambda_value,n_star,w_star,q_star,A1,A2,A3,A1A2_minus_A3,minimum_rh_margin,routh_hurwitz_stable,max_real_growth,eigenvalues_real,eigenvalues_imag,eigenvalue_stable,lambda_range_note
0.11765625,0.0,4.833333333333334,0.6416666666666666,0.3321577847439918,4.586068497474748,0.2148559526582794,0.0035663057876398545,0.981777810193421,0.0035663057876398545,True,-0.023581704072263975,-4.538905089;-0.02358170407;-0.02358170407,0;0.01515330439;-0.01515330439,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,0.10106474906715503,4.833333333333334,0.6416666666666666,0.3321577847439918,4.588595116201427,0.22181034340351147,0.0036784630972972513,1.014119395367017,0.0036784630972972513,True,-0.024339668950075048,-4.539915778;-0.02433966895;-0.02433966895,0;0.01475905514;-0.01475905514,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,0.20212949813431005,4.833333333333334,0.6416666666666666,0.3321577847439918,4.591121734928106,0.2287688197821467,0.0037953077524648373,1.0465101930231997,0.0037953077524648373,True,-0.02509763383250377,-4.540926467;-0.02509763383;-0.02509763383,0;0.01434953263;-0.01434953263,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,0.3031942472014651,4.833333333333334,0.6416666666666666,0.3321577847439918,4.5936483536547845,0.23573138179418152,0.0039168428499939695,1.0789502310336154,0.0039168428499939695,True,-0.02585559871954861,-4.541937156;-0.02585559872;-0.02585559872,0;0.01392338924;-0.01392338924,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,0.4042589962686201,4.833333333333334,0.6416666666666666,0.3321577847439918,4.596174972381464,0.2426980294396195,0.004043071486736009,1.1114395372699426,0.004043071486736009,True,-0.026613563611207883,-4.542947845;-0.02661356361;-0.02661356361,0;0.01347904865;-0.01347904865,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,0.5053237453357752,4.833333333333334,0.6416666666666666,0.3321577847439918,4.598701591108142,0.2496687627184535,0.004173996759542313,1.1439781396038111,0.004173996759542313,True,-0.02737152850748028,-4.543958534;-0.02737152851;-0.02737152851,0;0.01301464714;-0.01301464714,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,0.6063884944029302,4.833333333333334,0.6416666666666666,0.3321577847439918,4.6012282098348205,0.2566435816306907,0.004309621765264246,1.1765660659069153,0.004309621765264246,True,-0.02812949340836414,-4.544969223;-0.02812949341;-0.02812949341,0;0.01252795399;-0.01252795399,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,0.7074532434700852,4.833333333333334,0.6416666666666666,0.3321577847439918,4.6037548285615,0.2636224861763363,0.0044499496007531615,1.2092033440509424,0.0044499496007531615,True,-0.028887458313857972,-4.545979912;-0.02888745831;-0.02888745831,0;0.01201626087;-0.01201626087,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,0.8085179925372402,4.833333333333334,0.6416666666666666,0.3321577847439918,4.606281447288179,0.2706054763553798,0.004594983362860414,1.2418900019075054,0.004594983362860414,True,-0.02964542322396005,-4.546990601;-0.02964542322;-0.02964542322,0;0.01147622424;-0.01147622424,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,0.9095827416043952,4.833333333333334,0.6416666666666666,0.3321577847439918,4.608808066014857,0.27759255216782464,0.0047447261484373695,1.2746260673482828,0.0047447261484373695,True,-0.030403388138669073,-4.54800129;-0.03040338814;-0.03040338814,0;0.0109036335;-0.0109036335,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,1.0106474906715504,4.833333333333334,0.6416666666666666,0.3321577847439918,4.611334684741537,0.28458371361367263,0.004899181054335386,1.3074115682449454,0.004899181054335386,True,-0.031161353057983412,-4.549011979;-0.03116135306;-0.03116135306,0;0.01029305724;-0.01029305724,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,1.1117122397387054,4.833333333333334,0.6416666666666666,0.3321577847439918,4.613861303468215,0.29157896069291844,0.005058351177405825,1.3402465324691304,0.005058351177405825,True,-0.03191931798190154,-4.550022668;-0.03191931798;-0.03191931798,0;0.009637278383;-0.009637278383,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,1.2127769888058604,4.833333333333334,0.6416666666666666,0.3321577847439918,4.616387922194894,0.2985782934055674,0.005222239614500036,1.3731309878925246,0.005222239614500036,True,-0.03267728291042193,-4.551033356;-0.03267728291;-0.03267728291,0;0.008926339964;-0.008926339964,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,1.3138417378730154,4.833333333333334,0.6416666666666666,0.3321577847439918,4.6189145409215735,0.3055817117516195,0.005390849462469388,1.406064962386791,0.005390849462469388,True,-0.03343524784354297,-4.552044045;-0.03343524784;-0.03343524784,0;0.008145812359;-0.008145812359,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,1.4149064869401704,4.833333333333334,0.6416666666666666,0.3321577847439918,4.621441159648253,0.312589215731073,0.0055641838181652355,1.4390484838235826,0.0055641838181652355,True,-0.03419321278126328,-4.553054734;-0.03419321278;-0.03419321278,0;0.007273326344;-0.007273326344,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,1.5159712360073254,4.833333333333334,0.6416666666666666,0.3321577847439918,4.623967778374931,0.3196008053439279,0.005742245778438933,1.4720815800745621,0.005742245778438933,True,-0.03495117772358117,-4.554065423;-0.03495117772;-0.03495117772,0;0.006270613729;-0.006270613729,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,1.6170359850744804,4.833333333333334,0.6416666666666666,0.3321577847439918,4.62649439710161,0.3266164805901859,0.00592503844014184,1.5051642790114,0.00592503844014184,True,-0.03570914267049509,-4.555076112;-0.03570914267;-0.03570914267,0;0.005060851734;-0.005060851734,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,1.7181007341416354,4.833333333333334,0.6416666666666666,0.3321577847439918,4.629021015828289,0.33363624146983994,0.006112564900125333,1.5382966085057255,0.006112564900125333,True,-0.03646710762200375,-4.556086801;-0.03646710762;-0.03646710762,0;0.003431639161;-0.003431639161,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,1.8191654832087905,4.833333333333334,0.6416666666666666,0.3321577847439918,4.631547634554967,0.3406600879828954,0.006304828255240743,1.5714785964292253,0.006304828255240743,True,-0.035746011292370095,-4.557097489;-0.03870413386;-0.03574601129,0;0;0,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,1.9202302322759455,4.833333333333334,0.6416666666666666,0.3321577847439918,4.634074253281646,0.3476880201293575,0.006501831602339446,1.604710270653587,0.006501831602339446,True,-0.03394830228458806,-4.558108178;-0.04201777279;-0.03394830228,0;0;0,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,2.0212949813431007,4.833333333333334,0.6416666666666666,0.3321577847439918,4.636600872008326,0.35472003790921924,0.0067035780382728016,1.6379916590504395,0.0067035780382728016,True,-0.03321848029796319,-4.559118867;-0.04426352471;-0.0332184803,0;0;0,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,2.1223597304102557,4.833333333333334,0.6416666666666666,0.3321577847439918,4.639127490735004,0.3617561413224859,0.006910070659892163,1.6713227894914693,0.006910070659892163,True,-0.03280231822850252,-4.560129556;-0.04619561672;-0.03280231823,0;0;0,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,2.2234244794774107,4.833333333333334,0.6416666666666666,0.3321577847439918,4.641654109461683,0.36879633036915216,0.007121312564048885,1.7047036898483148,0.007121312564048885,True,-0.032555006237179294,-4.561140245;-0.04795885866;-0.03255500624,0;0;0,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,2.3244892285445657,4.833333333333334,0.6416666666666666,0.3321577847439918,4.644180728188362,0.375840605049218,0.007337306847594343,1.7381343879926374,0.007337306847594343,True,-0.032417111651441295,-4.562150933;-0.0496126832;-0.03241711165,0;0;0,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,2.4255539776117208,4.833333333333334,0.6416666666666666,0.3321577847439918,4.646707346915041,0.38288896536268524,0.007558056607379878,1.7716149117961082,0.007558056607379878,True,-0.03235735022264557,-4.563161622;-0.0511883746;-0.03235735022,0;0;0,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,2.5266187266788758,4.833333333333334,0.6416666666666666,0.3321577847439918,4.64923396564172,0.3899414113095574,0.007783564940256856,1.8051452891304056,0.007783564940256856,True,-0.03235686475352092,-4.564172311;-0.05270479005;-0.03235686475,0;0;0,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,2.627683475746031,4.833333333333334,0.6416666666666666,0.3321577847439918,4.651760584368399,0.3969979428898309,0.008013834943076637,1.8387255478671756,0.008013834943076637,True,-0.032403258014561176,-4.565183;-0.05417432677;-0.03240325801,0;0;0,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,2.728748224813186,4.833333333333334,0.6416666666666666,0.3321577847439918,4.654287203095078,0.4040585601035058,0.008248869712690576,1.87235571587808,0.008248869712690576,True,-0.032487869118355044,-4.566193688;-0.05560564566;-0.03248786912,0;0;0,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,2.829812973880341,4.833333333333334,0.6416666666666666,0.3321577847439918,4.656813821821757,0.4111232629505821,0.008488672345950032,1.9060358210347812,0.008488672345950032,True,-0.03260436854205484,-4.567204377;-0.05700507624;-0.03260436854,0;0;0,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
0.11765625,2.930877722947496,4.833333333333334,0.6416666666666666,0.3321577847439918,4.659340440548435,0.4181920514310544,0.008733245939706369,1.9397658912089168,0.008733245939706369,True,-0.032747966697342375,-4.568215066;-0.0583774081;-0.0327479667,0;0;0,True,"dense sampled lambda grid over mode-equivalent range i,j=0..64"
