run_id,stress,q0,w0_scale,n0,w0,z0,T,classification,basin_label,tail_mean_w,tail_mean_q,q_change,previous_window_mean_w,latest_window_mean_w,relative_change_between_last_windows,rhs_norm,state_norm,normalized_residual,physical,min_n,min_w,min_q,max_q,min_z,q_clip_count,q_clip_max_violation,notes
s0p1584375_q0p0_wscale0p02,0.1584375,0.0,0.02,4.8333333333389445,0.012833333333268906,1.8204999999944536,1600.0,declining_transient,transient_basin,0.9606332207041599,0.13631950803396087,0.13631546665862068,1.2919196531210122,0.9606332207041599,-0.2564295942216936,0.0013657381824661676,4.839372788594645,0.0002822138822793146,True,3.497899442523077,0.012832861040062876,0.0,0.2140303678854113,0.5642077463700427,0,0.0,window_change_indicates_transient
s0p1584375_q0p0_wscale0p05,0.1584375,0.0,0.05,4.8333333333389445,0.032083333333172266,1.8012499999945502,1600.0,declining_transient,transient_basin,0.8035388257731939,0.1811746398843919,0.1811705985090517,1.2576306936415917,0.8035388257731939,-0.361069326762001,2.8960791303004713e-05,4.8859599380322125,5.927349317290653e-06,True,3.497903521422615,0.03208215260015719,0.0,0.21492907042680265,0.5854632038295113,0,0.0,window_change_indicates_transient
s0p1584375_q0p0_wscale0p1,0.1584375,0.0,0.1,4.8333333333389445,0.06416666666634453,1.769166666661378,1600.0,declining_transient,transient_basin,0.7349169232989837,0.1979805254720251,0.19797648409668492,1.2196888692455865,0.7349169232989837,-0.39745541520473865,6.715734608358121e-05,4.882499020905114,1.3754707537274963e-05,True,3.4979061124173865,0.06416430520031438,0.0,0.21492978149376102,0.6207464406325637,0,0.0,window_change_indicates_transient
s0p1584375_q0p0_wscale0p2,0.1584375,0.0,0.2,4.8333333333389445,0.12833333333268906,1.7049999999950334,1600.0,declining_transient,transient_basin,0.6995090477804116,0.20553757839209447,0.20553353701675428,1.183449996891354,0.6995090477804116,-0.4089238669839385,3.1128883654347026e-05,4.880727068427089,6.377919358719422e-06,True,3.49790777080799,0.12832861040062876,0.0,0.21493027193818043,0.690616499036739,0,0.0,window_change_indicates_transient
s0p1584375_q0p0_wscale0p5,0.1584375,0.0,0.5,4.8333333333389445,0.32083333333172265,1.5124999999959998,1600.0,declining_transient,transient_basin,0.6792171406507516,0.20934258623999705,0.20933854486465686,1.150349206698333,0.6792171406507516,-0.4095556925707785,1.0174007583891519e-05,4.880198717469248,2.0847527268659076e-06,True,3.497908636063336,0.32082152600157193,0.0,0.21493064156379882,0.89274605282354,0,0.0,window_change_indicates_transient
s0p1584375_q0p0_wscale1,0.1584375,0.0,1.0,4.8333333333389445,0.6416666666634453,1.1916666666642772,1600.0,declining_transient,transient_basin,0.6727234431766566,0.2104497778990943,0.21044573652375412,1.1361120814595431,0.6727234431766566,-0.4078722916911326,4.852055882261175e-06,4.880124286594514,9.942484242849222e-07,True,3.4979085296862396,0.6384631976982842,0.0,0.21493078606994256,1.1868399450919815,0,0.0,window_change_indicates_transient
s0p1584375_q0p0_wscale1p5,0.1584375,0.0,1.5,4.8333333333389445,0.962499999995168,0.8708333333325544,1600.0,declining_transient,transient_basin,0.6705573530131285,0.21080463639335367,0.2108005950180135,1.1307719113453256,0.6705573530131285,-0.4069915017473869,3.341516354981074e-06,4.880110216937896,6.847214932530279e-07,True,3.497907837370687,0.6384629981026115,0.0,0.21493083831372706,0.8706612467787385,0,0.0,window_change_indicates_transient
s0p1584375_q0p1_wscale0p02,0.1584375,0.1,0.02,4.8333333333389445,0.012833333333268906,1.8204999999944536,1600.0,persistent_steady,persistent_basin,0.641665067458353,0.21415089693733183,0.11415089693733182,0.6409686095491359,0.641665067458353,0.0010865710096269994,1.0203468920334342e-09,4.880441397365592,2.0906856756526286e-10,True,3.575095314783253,0.012832861040062876,0.014860120682860451,0.21491539274723084,0.5787987314873337,0,0.0,steady_by_tail_change_and_rhs_residual
s0p1584375_q0p1_wscale0p05,0.1584375,0.1,0.05,4.8333333333389445,0.032083333333172266,1.8012499999945502,1600.0,persistent_steady,persistent_basin,0.6416667625694364,0.21415078543390767,0.11415078543390766,0.641709655502971,0.6416667625694364,-6.684165208785059e-05,6.122692521929793e-11,4.880441348575102,1.2545366463050272e-11,True,3.674704134169318,0.03208215260015719,0.0341568827966032,0.21491539216181466,0.6034327322578938,0,0.0,steady_by_tail_change_and_rhs_residual
s0p1584375_q0p1_wscale0p1,0.1584375,0.1,0.1,4.8333333333389445,0.06416666666634453,1.769166666661378,1600.0,persistent_steady,persistent_basin,0.6416666583772617,0.21415079353792016,0.11415079353792015,0.6416692031644564,0.6416666583772617,-3.965886444599756e-06,3.761407757828632e-12,4.88044135158125,7.707105744872738e-13,True,3.7926151917454805,0.06416430520031438,0.05625024261723217,0.21491539418780095,0.6372786952976882,0,0.0,steady_by_tail_change_and_rhs_residual
