run_id,stress,T,persistent_tail_025,persistent_tail_035,persistent_tail_050,persistent_without_slope_tail_025,tail_mean_w_tail_025,tail_slope_w_tail_025,tail_slope_floor_w_tail_025,tail_mean_q_tail_025,tail_q_change_tail_025,tail_mean_var_q_tail_025,classification_note
PDE_EVO_s0p09_T500,0.09,500.0,True,True,True,True,0.6430022514423489,-3.1566657355326885e-05,-0.0012860045028846977,0.41199753076024653,-0.26061721082114025,1.2233946810433287e-17,persistent
PDE_EVO_s0p09_T800,0.09,800.0,True,True,True,True,0.6416664113887053,1.6903204014881425e-09,-0.0008020830142358816,0.41218560438189905,-0.26042913719948774,7.571312715817542e-24,persistent
PDE_EVO_s0p105_T500,0.105,500.0,True,True,False,True,0.6530989760804606,-0.00025427600534381117,-0.0013061979521609213,0.36722231896474056,-0.30539242261664623,9.760609944679377e-16,persistent;slope_check_rejects
PDE_EVO_s0p105_T800,0.105,800.0,True,True,True,True,0.6416492587466893,3.0764179953704476e-07,-0.0008020615734333616,0.3687834075467997,-0.30383133403458706,1.7176328212429488e-21,persistent
PDE_EVO_s0p11765625_T500,0.11765625,500.0,False,False,False,True,0.74175157684372,-0.0014974554050383399,-0.00148350315368744,0.3133890998571608,-0.359225641724226,5.928441318114164e-14,slope_check_rejects
PDE_EVO_s0p11765625_T800,0.11765625,800.0,True,True,True,True,0.6415657294999502,-1.6251580014374735e-07,-0.0008019571618749377,0.3321982102481491,-0.3404165313332377,2.4326417284651165e-19,persistent
PDE_EVO_s0p125_T500,0.125,500.0,False,False,True,True,0.9282066586972549,-0.0026030541171663374,-0.0018564133173945099,0.24142544160222823,-0.43118929997915856,3.1618714735259124e-13,persistent;slope_check_rejects
PDE_EVO_s0p125_T800,0.125,800.0,True,True,False,True,0.6445139789170395,-7.169699722161648e-05,-0.0008056424736462995,0.3107833078322851,-0.3618314337491017,1.8500519915820396e-16,persistent;slope_check_rejects
PDE_EVO_s0p135_T500,0.135,500.0,True,True,True,True,1.1680979909489642,0.0030704484513523916,-0.0023361959818979285,0.07532010107019939,-0.5972946405111874,2.5925063793484825e-13,persistent
PDE_EVO_s0p135_T800,0.135,800.0,False,False,False,True,0.7563864205215416,-0.0014701187017480237,-0.000945483025651927,0.26096688232995047,-0.4116478592514363,9.623108813273518e-14,slope_check_rejects
PDE_EVO_s0p141262205_T500,0.141262205,500.0,True,True,True,True,0.407909580516641,0.011803305769641757,-0.000815819161033282,0.026979857719101073,-0.6456348838622857,1.1333308896895868e-14,persistent
PDE_EVO_s0p141262205_T800,0.141262205,800.0,False,False,True,True,1.073524137099226,-0.0021108213961582257,-0.0013419051713740324,0.14673680975881706,-0.5258779318225697,4.193637631068761e-13,persistent;slope_check_rejects
PDE_EVO_s0p15_T500,0.15,500.0,True,True,True,True,0.0019110449113022726,3.017102278117894e-05,-3.822089822604545e-06,0.023692231982298417,-0.6489225095990884,1.4892556634661645e-15,persistent
PDE_EVO_s0p15_T800,0.15,800.0,True,True,True,True,0.917397823468508,0.008076642034442492,-0.001146747279335635,0.005404957164810029,-0.6672097844165767,4.132095688653466e-15,persistent
PDE_EVO_s0p1584375_T500,0.1584375,500.0,False,False,False,False,4.467397293335656e-05,3.568079369145273e-07,-8.000000000000001e-07,0.02346533020481981,-0.649149411376567,1.5414024687677394e-15,near_classifier_tolerance
PDE_EVO_s0p1584375_T800,0.1584375,800.0,True,True,True,True,0.0006655002465561901,6.573306767114413e-06,-8.318753081952376e-07,0.002089554725415364,-0.6705251868559714,1.0542472851849548e-17,persistent
PDE_EVO_s0p16486816_T500,0.16486816,500.0,False,False,False,False,2.738099196557148e-06,4.4407536963265115e-09,-8.000000000000001e-07,0.023342502616305914,-0.6492722389650809,1.5539618729361744e-15,near_classifier_tolerance
PDE_EVO_s0p16486816_T800,0.16486816,800.0,False,False,False,False,6.643104418698672e-06,2.660390433599749e-08,-5e-07,0.002077147260164006,-0.6705375943212227,1.0707990780212705e-17,near_classifier_tolerance
PDE_EVO_s0p175_T500,0.175,500.0,False,False,False,False,3.719870476787535e-08,-3.147938297463901e-10,-8.000000000000001e-07,0.023182652223618785,-0.649432089357768,1.5648027014071257e-15,near_classifier_tolerance
PDE_EVO_s0p175_T800,0.175,800.0,False,False,False,False,6.237648427144139e-09,-3.716480323087453e-11,-5e-07,0.00206267141811573,-0.670552070163271,1.0783438504467552e-17,near_classifier_tolerance
