run_id,stress,T,n_x,n_y,seed,physical,classification,tail_mean_w,tail_min_w,tail_slope_w,tail_slope_floor_w,tail_mean_q,tail_q_change,tail_mean_var_q,tail_mean_min_z,previous_window_mean_w,latest_window_mean_w,relative_change_between_last_windows,persistent_with_slope_rule,persistent_without_slope_rule,rhs_norm,state_norm,normalized_residual,max_abs_dn_dt,max_abs_dw_dt,max_abs_dq_dt,min_n,min_w,min_q,max_q,min_z,q_clip_count,q_clip_max_violation,notes
LONG_s0p135_T1600,0.135,1600.0,64,64,20260702,True,persistent_steady,0.6416665691968978,0.6416660658719606,7.031211884388095e-10,-0.0004010416057480611,0.2819709367664129,-0.3906438048149739,3.7191697162847338e-25,1.191666579742666,0.6418993584379764,0.6416665691968978,-0.00036265691501093133,True,True,2.735695524232132e-11,4.883887264759512,5.601471483529096e-12,2.4283913555585716e-11,1.259414583513818e-11,5.530854142766785e-13,3.5016686774936736,0.0021936781184717586,0.04515138408268171,0.6726482997526597,0.5799118881812362,0,0.0,steady_by_tail_change_and_rhs_residual
LONG_s0p135_T2400,0.135,2400.0,64,64,20260702,True,persistent_steady,0.6416666666675802,0.6416666666664985,-8.059982854704434e-15,-0.00026736111111149173,0.2819709026604295,-0.3906438389209573,3.454960147265227e-33,1.1916666666674989,0.6416666008291271,0.6416666666675802,1.0260539203492918e-07,True,True,4.330082667569498e-15,4.883887264482066,8.866057779547664e-16,4.2928623618840054e-15,5.521046582875184e-16,1.2700037875017799e-16,3.5016686774936736,0.0021936781184717586,0.04515138408268171,0.6726482997526597,0.5799118881812362,0,0.0,steady_by_tail_change_and_rhs_residual
LONG_s0p135_T3200,0.135,3200.0,64,64,20260702,True,persistent_steady,0.6416666666666279,0.6416666666666279,0.0,-0.0002005208333333212,0.2819709026605621,-0.3906438389208247,3.0814879110195774e-33,1.1916666666666307,0.6416666666322844,0.6416666666666279,5.3522208313230985e-11,True,True,4.330082667569498e-15,4.883887264482066,8.866057779547664e-16,4.2928623618840054e-15,5.521046582875184e-16,1.2700037875017799e-16,3.5016686774936736,0.0021936781184717586,0.04515138408268171,0.6726482997526597,0.5799118881812362,0,0.0,steady_by_tail_change_and_rhs_residual
LONG_s0p141262205_T1600,0.141262205,1600.0,64,64,20260702,True,declining_transient,0.6416767991190964,0.6416651535913906,-1.1430037104573272e-07,-0.00040104799944943524,0.26384865752164055,-0.40876608405974624,1.9492805589109043e-21,1.1916759408735773,0.6760553146055772,0.6416767991190964,-0.05085163113692538,True,True,5.104685977687502e-10,4.882874498194218,1.0454264142105873e-10,4.310573865671265e-10,2.3040094774275415e-10,1.474673051424554e-10,3.442364245366863,0.0008129614406312556,0.020136345395398526,0.6726482997526597,0.5672296112780176,0,0.0,window_change_indicates_transient
LONG_s0p141262205_T2400,0.141262205,2400.0,64,64,20260702,True,persistent_steady,0.641666666585425,0.6416666654619311,7.536234646463587e-13,-0.00026736111107726043,0.26385022265589675,-0.40876451892549004,2.8413715879695924e-31,1.19166666659161,0.641673509790415,0.641666666585425,-1.0664621315345735e-05,True,True,4.330630597669125e-15,4.882874579816115,8.869018703798476e-16,4.292862361883865e-15,5.521046582875896e-16,1.4448031591212178e-16,3.442364245366863,0.0008129614406312556,0.020136345395398526,0.6726482997526597,0.5672296112780176,0,0.0,steady_by_tail_change_and_rhs_residual
LONG_s0p141262205_T3200,0.141262205,3200.0,64,64,20260702,True,persistent_steady,0.6416666666667107,0.6416666666667107,0.0,-0.00020052083333334708,0.26385022265090136,-0.40876451893048543,3.0814879110195774e-33,1.1916666666667055,0.6416666696817763,0.6416666666667107,-4.698803575217082e-09,True,True,4.330630597669125e-15,4.882874579816115,8.869018703798476e-16,4.292862361883865e-15,5.521046582875896e-16,1.4448031591212178e-16,3.442364245366863,0.0008129614406312556,0.020136345395398526,0.6726482997526597,0.5672296112780176,0,0.0,steady_by_tail_change_and_rhs_residual
LONG_s0p15_T1600,0.15,1600.0,64,64,20260702,True,declining_transient,0.6685306349711784,0.6393846336720144,-0.00031265576273778396,-0.0004178316468569865,0.23522183033008395,-0.43739291125130286,2.4935643678439618e-14,1.216779587635044,1.1564841136029895,0.6685306349711784,-0.4219283887191564,True,True,1.2211547044293755e-06,4.881393211081569,2.50165199078237e-07,1.0573333643542797e-06,5.316665964401652e-07,3.0231136500950926e-07,3.437983379910108,0.00015336324472817287,0.0030235608874326467,0.6726482997526597,0.5557179099113783,0,0.0,window_change_indicates_transient
LONG_s0p15_T2400,0.15,2400.0,64,64,20260702,True,declining_transient,0.6416663294390483,0.6416623368814467,3.1043566004647167e-09,-0.00026736097059960347,0.238566052993703,-0.43404868858768375,8.173986410517936e-24,1.1916663525974953,0.6598107706574605,0.6416663294390483,-0.027499462005344925,True,True,7.31242393846758e-12,4.881573616346335,1.4979644912004094e-12,6.488837718714759e-12,3.3624725158024965e-12,3.15970528668788e-13,3.437983379910108,0.00015336324472817287,0.0030235608874326467,0.6726482997526597,0.5557179099113783,0,0.0,window_change_indicates_transient
LONG_s0p15_T3200,0.15,3200.0,64,64,20260702,True,persistent_steady,0.6416666666678252,0.6416666666487262,-1.1871652409940534e-14,-0.00020052083333369538,0.23856603166998264,-0.43404870991140415,4.105858955810436e-33,1.191666666667798,0.6416752396448548,0.6416666666678252,-1.3360305182343019e-05,True,True,4.327159220148368e-15,4.881573616538964,8.864271155284398e-16,4.2928623618839936e-15,5.342948306008294e-16,1.0634536595941563e-16,3.437983379910108,0.00015336324472817287,0.0030235608874326467,0.6726482997526597,0.5557179099113783,0,0.0,steady_by_tail_change_and_rhs_residual
LONG_s0p1584375_T1600,0.1584375,1600.0,64,64,20260702,True,recovery_transient,1.3078156824623246,1.3030845076878055,-1.2598670390324459e-05,-0.0008173848015389528,0.0008508921514359931,-0.6717638494299508,4.696037855142172e-16,1.8576553186998899,0.23438647492931192,1.3078156824623246,4.579740396098989,True,True,0.00014965196861125695,3.74514631845336,3.995891105078613e-05,0.00013164778721035445,6.268846761393261e-05,3.370725181023981e-05,3.4981136586885393,1.985241145131828e-05,3.4769483949564984e-05,0.6726482997526597,0.550856836745885,0,0.0,window_change_indicates_transient
