r_v,a_v,b_u,b_v,b_v_over_b_u,c,valid_selection_ratio,z_star,w_star,n_star,s_at_q_equals_1,s_at_q_equals_0,interior_interval_length,nonnegative_interval_length,branch_exists_at_s_0,branch_exists_at_s_0p1584375,branch_exists_at_s_0p16486816,branch_exists_at_s_0p175,qualitative_class,notes
0.55,0.45,0.1,0.07500000000000001,0.75,0.818181818181818,True,3.0249999999999972,2.4749999999999974,1.1666666666666723,-0.33031249999999845,-0.24208333333333137,0.08822916666666708,0.0,False,False,False,False,compensation_branch_absent,q_star_outside_interior_interval
0.65,0.25,0.06,0.015,0.25,0.4666666666666666,True,1.0312499999999998,0.48124999999999984,5.154166666666667,-0.116521484375,0.12266406249999995,0.23918554687499993,0.12266406249999995,True,False,False,False,compensation_branch_present,analytic_grid_entry
0.65,0.25,0.06,0.03,0.5,0.4666666666666666,True,1.0312499999999998,0.48124999999999984,5.154166666666667,-0.036792968750000016,0.12266406249999995,0.15945703124999996,0.12266406249999995,True,False,False,False,compensation_branch_present,analytic_grid_entry
0.65,0.25,0.06,0.045,0.75,0.4666666666666666,True,1.0312499999999998,0.48124999999999984,5.154166666666667,0.04293554687499998,0.12266406249999995,0.07972851562499997,0.07972851562499997,False,False,False,False,compensation_branch_present,q_star_outside_interior_interval
0.65,0.25,0.08,0.02,0.25,0.4666666666666666,True,1.0312499999999998,0.48124999999999984,5.154166666666667,-0.08994531249999999,0.22896875000000003,0.3189140625,0.22896875000000003,True,True,True,True,compensation_branch_present,analytic_grid_entry
0.65,0.25,0.08,0.04,0.5,0.4666666666666666,True,1.0312499999999998,0.48124999999999984,5.154166666666667,0.01635937500000001,0.22896875000000003,0.21260937500000002,0.21260937500000002,False,True,True,True,compensation_branch_present,q_star_outside_interior_interval
0.65,0.25,0.08,0.06,0.75,0.4666666666666666,True,1.0312499999999998,0.48124999999999984,5.154166666666667,0.12266406249999995,0.22896875000000003,0.10630468750000008,0.10630468750000008,False,True,True,True,compensation_branch_present,q_star_outside_interior_interval
0.65,0.25,0.1,0.025,0.25,0.4666666666666666,True,1.0312499999999998,0.48124999999999984,5.154166666666667,-0.06336914062499999,0.33527343750000005,0.39864257812500004,0.33527343750000005,True,True,True,True,compensation_branch_present,analytic_grid_entry
0.65,0.25,0.1,0.05,0.5,0.4666666666666666,True,1.0312499999999998,0.48124999999999984,5.154166666666667,0.06951171875,0.33527343750000005,0.26576171875000004,0.26576171875000004,False,True,True,True,compensation_branch_present,q_star_outside_interior_interval
0.65,0.25,0.1,0.07500000000000001,0.75,0.4666666666666666,True,1.0312499999999998,0.48124999999999984,5.154166666666667,0.20239257812499997,0.33527343750000005,0.13288085937500008,0.13288085937500008,False,False,False,False,compensation_branch_present,q_star_outside_interior_interval
0.65,0.35,0.06,0.015,0.25,0.5384615384615384,True,1.1916666666666667,0.6416666666666666,4.833333333333334,-0.1419375,0.11725000000000002,0.2591875,0.11725000000000002,True,False,False,False,compensation_branch_present,analytic_grid_entry
0.65,0.35,0.06,0.03,0.5,0.5384615384615384,True,1.1916666666666667,0.6416666666666666,4.833333333333334,-0.055541666666666656,0.11725000000000002,0.17279166666666668,0.11725000000000002,True,False,False,False,compensation_branch_present,analytic_grid_entry
0.65,0.35,0.06,0.045,0.75,0.5384615384615384,True,1.1916666666666667,0.6416666666666666,4.833333333333334,0.030854166666666683,0.11725000000000002,0.08639583333333334,0.08639583333333334,False,False,False,False,compensation_branch_present,q_star_outside_interior_interval
0.65,0.35,0.08,0.02,0.25,0.5384615384615384,True,1.1916666666666667,0.6416666666666666,4.833333333333334,-0.11313888888888887,0.23244444444444454,0.3455833333333334,0.23244444444444454,True,True,True,True,compensation_branch_present,analytic_grid_entry
0.65,0.35,0.08,0.04,0.5,0.5384615384615384,True,1.1916666666666667,0.6416666666666666,4.833333333333334,0.0020555555555555882,0.23244444444444454,0.23038888888888895,0.23038888888888895,False,True,True,True,compensation_branch_present,q_star_outside_interior_interval
0.65,0.35,0.08,0.06,0.75,0.5384615384615384,True,1.1916666666666667,0.6416666666666666,4.833333333333334,0.11725000000000002,0.23244444444444454,0.11519444444444452,0.11519444444444452,False,True,True,True,compensation_branch_present,q_star_outside_interior_interval
