representative_stress,treatment,evolve_q,time,n,w,q,z
0.11912265277777781,frozen_q,False,0.0,4.833333333333334,0.6416666666666665,0.672614741580259,1.1916666666666664
0.11912265277777781,frozen_q,False,2.5,5.067411785870111,0.49402887157182157,0.672614741580259,1.1052260092247344
0.11912265277777781,frozen_q,False,5.0,5.247415783930962,0.39450324932612546,0.672614741580259,1.0247476334095795
0.11912265277777781,frozen_q,False,7.5,5.3769762288578935,0.32227679814387833,0.672614741580259,0.9674136396648951
0.11912265277777781,frozen_q,False,10.0,5.474751075254927,0.2674861486921901,0.672614741580259,0.9244294427195497
0.11912265277777781,frozen_q,False,12.5,5.550993436658757,0.22461015052695035,0.672614741580259,0.8910630794809594
0.11912265277777781,frozen_q,False,15.0,5.611878357518996,0.1902832409098516,0.672614741580259,0.8645050682378197
0.11912265277777781,frozen_q,False,17.5,5.661381471755794,0.16232013583786,0.672614741580259,0.842965059073013
0.11912265277777781,frozen_q,False,20.0,5.702196145125855,0.13923111568860494,0.672614741580259,0.8252394058522069
0.11912265277777781,frozen_q,False,22.5,5.736221386583388,0.11996058959315185,0.672614741580259,0.8104846904901272
0.11912265277777781,frozen_q,False,25.0,5.764840803305192,0.10373672424552378,0.672614741580259,0.7980891391159515
0.11912265277777781,frozen_q,False,27.5,5.789089263420524,0.08998032811282783,0.672614741580259,0.7875970751333149
0.11912265277777781,frozen_q,False,30.0,5.809758409702662,0.078247238467814,0.672614741580259,0.7786610184961905
0.11912265277777781,frozen_q,False,32.5,5.827465324410311,0.0681905144140704,0.672614741580259,0.7710108278422854
0.11912265277777781,frozen_q,False,35.0,5.842698750940868,0.059534881370518614,0.672614741580259,0.7644330343552802
0.11912265277777781,frozen_q,False,37.5,5.855851145698691,0.05205896501389574,0.672614741580259,0.7587565559540804
0.11912265277777781,frozen_q,False,40.0,5.867241400910485,0.04558265625820884,0.672614741580259,0.7538426094979729
0.11912265277777781,frozen_q,False,42.5,5.877131306845369,0.039957934090974416,0.672614741580259,0.7495774257303236
0.11912265277777781,frozen_q,False,45.0,5.885737704534837,0.035062076571080396,0.672614741580259,0.7458668855607492
0.11912265277777781,frozen_q,False,47.5,5.893241606507955,0.03079255503327853,0.672614741580259,0.7426325051254338
0.11912265277777781,frozen_q,False,50.0,5.89979514818132,0.027063135187192697,0.672614741580259,0.7398083832981545
0.11912265277777781,frozen_q,False,52.5,5.9055269590183705,0.02380086109218759,0.672614741580259,0.7373388465561088
0.11912265277777781,frozen_q,False,55.0,5.910546366398603,0.02094369182318182,0.672614741580259,0.7351766084448821
0.11912265277777781,frozen_q,False,57.5,5.914946714048008,0.018438628924643135,0.672614741580259,0.733281323694016
0.11912265277777781,frozen_q,False,60.0,5.918808033459562,0.016240218120058884,0.672614741580259,0.7316184150870464
0.11912265277777781,frozen_q,False,62.5,5.92219917569367,0.014309339000923392,0.672614741580259,0.7301581519720733
0.11912265277777781,frozen_q,False,65.0,5.925179550389672,0.01261221747101667,0.672614741580259,0.7288748988059787
0.11912265277777781,frozen_q,False,67.5,5.92780060513847,0.011119616608837117,0.672614741580259,0.7277464449193595
0.11912265277777781,frozen_q,False,70.0,5.930106929170047,0.009806166017741988,0.672614741580259,0.726753571478878
