case_label,stress,baseline_state,perturbation_type,seed,time,var_n,var_w,var_q,cv_n,cv_w,cv_q,min_n,min_w,min_q,max_q,min_z
compensation_branch_state_homogeneous_control_s0.158438_seed20260702,0.1584375,compensation_branch_state,homogeneous_control,20260702,0.0,0.0,4.930380657631324e-32,6.933347799794049e-33,0.0,3.460435401429061e-16,3.888228764951176e-16,4.833333333333334,0.6416666666666666,0.21415079173699889,0.21415079173699889,1.1916666666666664
compensation_branch_state_homogeneous_control_s0.158438_seed20260702,0.1584375,compensation_branch_state,homogeneous_control,20260702,5.0,0.0,4.930380657631324e-32,6.933347799794049e-33,0.0,3.460435401429061e-16,3.888228764951176e-16,4.833333333333334,0.6416666666666666,0.21415079173699889,0.21415079173699889,1.1916666666666664
compensation_branch_state_homogeneous_control_s0.158438_seed20260702,0.1584375,compensation_branch_state,homogeneous_control,20260702,10.0,0.0,4.930380657631324e-32,6.933347799794049e-33,0.0,3.460435401429061e-16,3.888228764951176e-16,4.833333333333334,0.6416666666666666,0.21415079173699889,0.21415079173699889,1.1916666666666664
compensation_branch_state_homogeneous_control_s0.158438_seed20260702,0.1584375,compensation_branch_state,homogeneous_control,20260702,15.0,0.0,4.930380657631324e-32,6.933347799794049e-33,0.0,3.460435401429061e-16,3.888228764951176e-16,4.833333333333334,0.6416666666666666,0.21415079173699889,0.21415079173699889,1.1916666666666664
compensation_branch_state_homogeneous_control_s0.158438_seed20260702,0.1584375,compensation_branch_state,homogeneous_control,20260702,20.0,0.0,4.930380657631324e-32,6.933347799794049e-33,0.0,3.460435401429061e-16,3.888228764951176e-16,4.833333333333334,0.6416666666666666,0.21415079173699889,0.21415079173699889,1.1916666666666664
compensation_branch_state_homogeneous_control_s0.158438_seed20260702,0.1584375,compensation_branch_state,homogeneous_control,20260702,25.0,0.0,4.930380657631324e-32,6.933347799794049e-33,0.0,3.460435401429061e-16,3.888228764951176e-16,4.833333333333334,0.6416666666666666,0.21415079173699889,0.21415079173699889,1.1916666666666664
compensation_branch_state_homogeneous_control_s0.158438_seed20260702,0.1584375,compensation_branch_state,homogeneous_control,20260702,30.0,0.0,4.930380657631324e-32,6.933347799794049e-33,0.0,3.460435401429061e-16,3.888228764951176e-16,4.833333333333334,0.6416666666666666,0.21415079173699889,0.21415079173699889,1.1916666666666664
compensation_branch_state_homogeneous_control_s0.158438_seed20260702,0.1584375,compensation_branch_state,homogeneous_control,20260702,35.0,0.0,4.930380657631324e-32,6.933347799794049e-33,0.0,3.460435401429061e-16,3.888228764951176e-16,4.833333333333334,0.6416666666666666,0.21415079173699889,0.21415079173699889,1.1916666666666664
compensation_branch_state_homogeneous_control_s0.158438_seed20260702,0.1584375,compensation_branch_state,homogeneous_control,20260702,40.0,0.0,4.930380657631324e-32,6.933347799794049e-33,0.0,3.460435401429061e-16,3.888228764951176e-16,4.833333333333334,0.6416666666666666,0.21415079173699889,0.21415079173699889,1.1916666666666664
compensation_branch_state_homogeneous_control_s0.158438_seed20260702,0.1584375,compensation_branch_state,homogeneous_control,20260702,45.0,0.0,4.930380657631324e-32,6.933347799794049e-33,0.0,3.460435401429061e-16,3.888228764951176e-16,4.833333333333334,0.6416666666666666,0.21415079173699889,0.21415079173699889,1.1916666666666664
compensation_branch_state_homogeneous_control_s0.158438_seed20260702,0.1584375,compensation_branch_state,homogeneous_control,20260702,50.0,0.0,4.930380657631324e-32,6.933347799794049e-33,0.0,3.460435401429061e-16,3.888228764951176e-16,4.833333333333334,0.6416666666666666,0.21415079173699889,0.21415079173699889,1.1916666666666664
