run_id,label,group_id,mu,D_w_over_D_u,eta,stress,T,n_x,n_y,L_x,L_y,dt,seed,time,mean_u,mean_v,mean_w,mean_z,var_u,var_v,var_w,pattern_strength,min_z,spatial_growth_term,meanfield_growth_term,spatial_covariance_bonus,relative_covariance_bonus,local_growth_mean,local_growth_at_means,cov_w_local_growth,edible_mean,edible_at_means,success
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,0.0,0.15440472467455368,0.46648751491693674,0.9924801235664852,5.053294303508691,2.41723956059903e-12,2.1585253254971224e-11,9.621657585916422e-11,9.621657585916422e-11,5.0532463068870035,-0.3927842930877029,-0.39278429297025547,-1.174474406617776e-10,-2.9901256931257513e-10,-0.39576036200806225,-0.3957603619897011,-9.92244036771777e-11,0.18673130790749964,0.18673130791023124,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,2.0,0.4276123755683857,1.1681709202681936,0.8392677062089973,4.23161566462109,5.966645666730866e-12,3.703675252914074e-11,1.3571012474370177e-14,3.703675252914074e-11,4.231588262435419,0.050218945424025836,0.050218945432757005,-8.731168565923042e-12,-1.7386204530348106e-10,0.05983662310906765,0.0598366231194547,-1.364136741272976e-14,0.2998794752339572,0.2998794752354755,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,4.0,0.9129200442361043,2.005523493225373,0.7963296385429663,2.9518934906622234,4.752331121708156e-12,6.1905633810233044e-12,2.3512617431497952e-14,6.1905633810233044e-12,2.951885044542295,-0.07847111890873351,-0.07847111890850274,-2.307737334561466e-13,-2.9408747659702663e-12,-0.09854099999638127,-0.09854099999603216,4.72337904868681e-14,0.3638680418757457,0.36386804187579785,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,6.0,1.323730246306103,2.4129855562665217,0.6227863131823761,2.307164550911666,2.8404186049397967e-12,2.0464511692581988e-12,9.82131686170037e-15,2.8404186049397967e-12,2.3071627420599805,-0.08387423952354711,-0.08387423952354418,-2.9282132274488504e-15,-3.491194965322785e-14,-0.13467579127576218,-0.13467579127575102,4.018329475499791e-15,0.385951269095693,0.38595126909569477,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,8.0,1.6396352655824415,2.6008035026141885,0.47698377012762183,1.9492441283424147,1.5511390631750412e-12,1.2485268931505309e-12,3.007608510371491e-15,1.5511390631750412e-12,1.9492435288274488,-0.06137779024887805,-0.06137779024887744,-6.106226635438361e-16,-9.94859314856155e-15,-0.1286789909695586,-0.12867899096955687,2.0358481872040923e-16,0.39631655876964844,0.39631655876964866,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,10.0,1.8713730642687834,2.677472073723146,0.37425539708097033,1.7435661315937674,8.33185254451214e-13,7.2409635696313e-13,9.666370291030928e-16,8.33185254451214e-13,1.7435658304112824,-0.042375906002689395,-0.04237590600268915,-2.42861286636753e-16,-5.7311172679432444e-15,-0.11322724089806854,-0.11322724089806807,-6.797509385481168e-17,0.40184902965968394,0.40184902965968405,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,12.0,2.0426708265162756,2.7031607228648964,0.30305465772826506,1.61778045955723,4.5139783799596277e-13,4.092048456283953e-13,3.4239192443153394e-16,4.5139783799596277e-13,1.6177803015640417,-0.029678223680011835,-0.029678223680011825,-1.0408340855860843e-17,-3.507063282520786e-16,-0.09793026743915897,-0.09793026743915911,-5.183509877532214e-17,0.4051394608369405,0.4051394608369405,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,14.0,2.1720775616313865,2.7065922453998756,0.2524668175208421,1.5355300421145628,2.4782592344931816e-13,2.3049666638348875e-13,1.3444015117290622e-16,2.4782592344931816e-13,1.5355299543944008,-0.021453866729853964,-0.021453866729853943,-2.0816681711721685e-17,-9.702997587262155e-16,-0.0849769761449258,-0.08497697614492583,-2.782710493670135e-17,0.4072732627192841,0.4072732627192841,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,16.0,2.271886352682032,2.7008915413635384,0.2153222240252186,1.4785665485958788,1.379520109567033e-13,1.304979287838712e-13,5.799694213756857e-17,1.379520109567033e-13,1.4785664971370078,-0.01602429003008684,-0.016024290030086923,8.326672684688674e-17,5.196281812832058e-15,-0.07442004699064436,-0.07442004699064483,-1.4374357442835433e-17,0.40875018815515196,0.40875018815515196,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,18.0,2.350193855023523,2.6920619508956953,0.187179213194649,1.4372316475528,7.779810135403758e-14,7.447146386070228e-14,2.7167924908506837e-17,7.779810135403758e-14,1.437231615756288,-0.012325959867183439,-0.012325959867183456,1.734723475976807e-17,1.4073739446412786e-15,-0.06585111485838752,-0.06585111485838763,-7.570779368229284e-18,0.40982379484036036,0.40982379484036036,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,20.0,2.41248866160966,2.6828302666614965,0.16526088252176968,1.406086855873741,4.4398390323286033e-14,4.286763246717096e-14,1.3669443003817806e-17,4.4398390323286033e-14,1.4060868354700844,-0.00972479177979887,-0.009724791779798866,-3.469446951953614e-18,-3.5676310922776077e-16,-0.058845091659956654,-0.05884509165995666,-4.127818114275317e-18,0.41063407113100947,0.4106340711310095,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,22.0,2.4626150901852286,2.674378522184696,0.14778281523460995,1.3818902390621322,2.560934393155139e-14,2.4886052257470384e-14,7.31740133474065e-18,2.560934393155139e-14,1.3818902255235705,-0.007840522251806894,-0.007840522251806852,-4.163336342344337e-17,-5.310024267050415e-15,-0.05305435709395448,-0.0530543570939542,-2.3375852788183797e-18,0.41126388427843785,0.41126388427843796,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,24.0,2.503344463989078,2.6671485111880835,0.13356213776668466,1.3626115537228212,1.491316692079735e-14,1.4563132823352e-14,4.13287336686161e-18,1.491316692079735e-14,1.3626115444630023,-0.0064393468622413255,-0.006439346862241324,-1.734723475976807e-18,-2.6939432105277317e-16,-0.048212367441213086,-0.048212367441213086,-1.3738601440120055e-18,0.41176515760139304,0.41176515760139304,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,26.0,2.536722433233961,2.6612285846077204,0.1217908568644182,1.3469247919605671,8.758645657179363e-15,8.585384532671563e-15,2.4447061171874048e-18,8.758645657179363e-15,1.3469247854483666,-0.005373180099437186,-0.005373180099437176,-9.540979117872439e-18,-1.775667098683666e-15,-0.044118090945191354,-0.044118090945191285,-8.360082106671946e-19,0.41217197293485175,0.4121719729348517,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,28.0,2.5642880546225073,2.6565446255039866,0.11190169369099184,1.333932292849181,5.183293938049193e-15,5.095609976487201e-15,1.5046645370220369e-18,5.183293938049193e-15,1.333932288149974,-0.0045454218795040234,-0.004545421879504035,1.1275702593849246e-17,2.4806723980216273e-15,-0.040619777320402894,-0.040619777320403005,-5.251184296409545e-19,0.4125075738659262,0.4125075738659262,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,30.0,2.58721716858822,2.6529556724457777,0.10348644189638184,1.3230073837362872,3.0883776691051678e-15,3.0429867709957937e-15,9.580902907592775e-19,3.0883776691051678e-15,1.3230073802639482,-0.0038912957055920873,-0.0038912957055920864,-8.673617379884035e-19,-2.228979249101884e-16,-0.0376019856735275,-0.0376019856735275,-3.3937908383983324e-19,0.4127883246605843,0.41278832466058435,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,32.0,2.6064194057991816,2.6503016489136773,0.09624484219478649,1.3137007697590213,1.8514310495155286e-15,1.8273678557434363e-15,6.280430326954252e-19,1.8514310495155286e-15,1.3137007671368734,-0.0033662573921260687,-0.0033662573921260566,-1.214306433183765e-17,-3.607289317876048e-15,-0.03497597705353623,-0.03497597705353611,-2.249683707009595e-19,0.4130260579958786,0.41302605799587866,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,34.0,2.6226057343248694,2.648426499574996,0.08995167475086847,1.3056827580159331,1.1160204890310625e-15,1.102934616994277e-15,4.220650799274433e-19,1.1160204890310625e-15,1.3056827559963402,-0.0029389702286004493,-0.0029389702286004645,1.5178830414797062e-17,5.164676479906096e-15,-0.0326727683141005,-0.03267276831410067,-1.525044773509928e-19,0.41322952564043985,0.41322952564043985,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,36.0,2.6363366542842708,2.647188553596985,0.08443503017576727,1.298706428609644,6.760714043777031e-16,6.687574492565142e-16,2.8977778088721923e-19,6.760714043777031e-16,1.2987064270262665,-0.002586931520891616,-0.002586931520891591,-2.5153490401663703e-17,-9.723291938162422e-15,-0.030638131063688085,-0.03063813106368779,-1.0544050003098995e-19,0.41340532722871204,0.41340532722871204,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,38.0,2.6480572962360216,2.6464642676249266,0.07956162239785033,1.2925834804078686,4.1140188930728033e-16,4.07192791789585e-16,2.026723601950848e-19,4.1140188930728033e-16,1.292583479146663,-0.0022936800133717657,-0.0022936800133717596,-6.071532165918825e-18,-2.647070267222464e-15,-0.028828974878140977,-0.0288289748781409,-7.417744778820772e-20,0.41355852350754313,0.41355852350754313,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,40.0,2.658123424676603,2.6461486099465503,0.07522664755608485,1.287167984487429,2.5137180214611675e-16,2.4887445988104345e-16,1.4405721374146492e-19,2.5137180214611675e-16,1.2871679834686411,-0.0020469704620240253,-0.002046970462024024,-1.3010426069826053e-18,-6.355942262577382e-16,-0.02721070961587005,-0.027210709615870035,-5.2989247144757563e-20,0.41369305229148995,0.41369305229149,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,42.0,2.666820982757157,2.646153831785501,0.07134664476134389,1.2823452073626653,1.5416626777801936e-16,1.5263796833383068e-16,1.0385669561694048e-19,1.5416626777801936e-16,1.2823452065294587,-0.0018375544091063039,-0.0018375544091063143,1.0408340855860843e-17,5.664235466596545e-15,-0.025755302372703917,-0.025755302372704063,-3.83701622465618e-20,0.41381201733773915,0.41381201733773915,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,44.0,2.674380961448076,2.646407559831485,0.06785438063674948,1.2780237647503563,9.487479830724861e-17,9.391074087477357e-17,7.582065050088493e-20,9.487479830724861e-17,1.2780237640614824,-0.0016583495890714257,-0.0016583495890714216,-4.119968255444917e-18,-2.4843786150975847e-15,-0.02443983090714816,-0.024439830907148102,-2.8121670684728705e-20,0.4139178931818287,0.4139178931818287,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,46.0,2.6809908280157275,2.646850702411812,0.06469512443675743,1.2741300118023693,5.857138279812433e-17,5.794560605320859e-17,5.597657566636694e-20,5.857138279812433e-17,1.27413001122737,-0.0015038637376929044,-0.0015038637376928938,-1.0625181290357943e-17,-7.065255331349477e-15,-0.023245395240919627,-0.023245395240919467,-2.083431358812615e-20,0.4140126730802048,0.41401267308020473,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,48.0,2.68680338673476,2.6474354192286693,0.06182389547595943,1.2706039652272778,3.626554441518403e-17,3.5848629640201866e-17,4.174432821698446e-20,3.626554441518403e-17,1.270603964743216,-0.0013697881757912186,-0.0013697881757912117,-6.938893903907228e-18,-5.065669295837786e-15,-0.02215629030241015,-0.022156290302410037,-1.5586160227541388e-20,0.41409797762257705,0.414097977622577,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,50.0,2.6919437001342894,2.6481232713463703,0.05920340139061858,1.2673962937953887,2.2516116976800102e-17,2.223189826083392e-17,3.141541884986575e-20,2.2516116976800102e-17,1.2673962933847447,-0.0012527067224322812,-0.0012527067224322897,8.456776945386935e-18,6.7508035152609585e-15,-0.021159370796401338,-0.021159370796401483,-1.1763080765553972e-20,0.41417513564076824,0.4141751356407682,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,52.0,2.696514530179047,2.648883595604508,0.05680247453461633,1.264466066348496,1.4015690274401504e-17,1.3818067251218617e-17,2.3838829781320184e-20,1.4015690274401504e-17,1.2644660659979068,-0.0011498842485177345,-0.0011498842485177414,6.938893903907228e-18,6.034428172098028e-15,-0.0202435590691912,-0.02024355906919132,-8.949151301138737e-21,0.41424524527221085,0.4142452452722108,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,54.0,2.700600639927684,2.649692109177418,0.0545948724827548,1.26177904507881,8.745861637861811e-18,8.606139006779455e-18,1.8226996446902873e-20,8.745861637861811e-18,1.2617790447777886,-0.0010591110664843314,-0.0010591110664843228,-8.673617379884035e-18,-8.189525777193221e-15,-0.019399460394726245,-0.019399460394726085,-6.858435792680446e-21,0.41430922058992614,0.41430922058992614,True
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,56.0,2.7042722111301787,2.6505297306821456,0.05255834804551941,1.2593063768088237,5.4703809234417284e-18,5.3702080065020405e-18,1.4033458390266994e-20,5.4703809234417284e-18,1.259306376549049,-0.0009785870209186682,-0.0009785870209186745,6.288372600415926e-18,6.425971800149719e-15,-0.018619059717614024,-0.018619059717614142,-5.291675435655091e-21,0.4143678275902056,0.41436782759020563,True
