gamma_r,gamma_a,gamma_b,shape_class,target_stresses_total,target_stresses_with_branch,target_stresses_stable,stress_interval_low_estimate,stress_interval_high_estimate,failure_or_unresolved_reason,interpretation
0.5,1.0,0.5,no_compensation_shape,4,0,0,-0.682772715964445,0.06567162725118034,no_target_stress_feasible_branch,No feasible branch was found at the four target stresses; the estimated interval does not cover the tested rescue stresses.
0.5,2.0,0.5,no_compensation_shape,4,0,0,-0.6469454561599406,0.03778786781540647,no_target_stress_feasible_branch,No feasible branch was found at the four target stresses; the estimated interval does not cover the tested rescue stresses.
1.0,2.0,0.5,no_compensation_shape,4,0,0,-0.6868149041761853,-0.008469341471604969,no_target_stress_feasible_branch,No feasible branch was found at the four target stresses; the estimated interval does not cover the tested rescue stresses.
1.0,2.0,1.0,no_compensation_shape,4,0,0,-0.6862528422968612,0.06567163620004343,no_target_stress_feasible_branch,No feasible branch was found at the four target stresses; the estimated interval does not cover the tested rescue stresses.
2.0,1.0,0.5,unresolved_shape,4,3,0,-0.43375913275503275,0.1689316024063173,branch_found_but_not_stable_at_targets,"A branch was detected for some target stresses, but no target stress was classified as stable in the existing diagnostics."
