case_label,stress,q0,w0_scale,T,ode_classification,ode_basin_label,pde_classification,pde_basin_label,classification_agreement,basin_label_agreement,rmse_n,rmse_w,rmse_q,max_abs_difference_n,max_abs_difference_w,max_abs_difference_q,final_abs_difference_n,final_abs_difference_w,final_abs_difference_q,ode_tail_mean_w,ode_tail_mean_q,ode_normalized_residual,notes
persistent_case,0.1584375,0.1,0.1,1600.0,persistent_steady,persistent_basin,persistent_steady,persistent_basin,True,True,0.0019982344951497443,0.0010093982244891888,0.0001382318626856363,0.016882593046209315,0.008559616436888517,0.00040157669395277096,1.3785328434323674e-09,7.143531322029162e-10,1.1425430046507756e-10,0.6416666574213665,0.21415079359029826,3.779298644667139e-13,ode_pde_match
extinct_case,0.16486816,0.9,0.02,1600.0,extinct_steady,extinct_basin,extinct_steady,extinct_basin,True,True,1.0337986435382602e-05,3.0976192748178205e-06,3.10270836868368e-05,5.6423636442204383e-05,3.2529289740436396e-05,0.00010406711596799845,9.505605191861832e-10,3.066175434922791e-12,4.898282014444518e-09,1.0455129428254056e-11,9.945308715538004e-06,1.3176498380019312e-09,ode_pde_match
transient_case,0.1584375,0.7,0.02,1600.0,recovery_transient,transient_basin,recovery_transient,transient_basin,True,True,0.03634895441960757,0.018213224304091474,2.3144809994319546e-05,0.36952565135032067,0.18446900145195833,5.959727362184197e-05,1.4932762413266687e-06,7.101603929360323e-07,3.8548540679633607e-07,0.4627161896120895,4.594771812516848e-06,5.940592798890665e-08,ode_pde_match
