run_id,label,group_id,mu,D_w_over_D_u,eta,stress,T,n_x,n_y,L_x,L_y,dt,seed,source_threshold_stage,source_delta_threshold,source_threshold_tolerance,source_final_group_conclusion,tail_mean_w,tail_min_w,tail_mean_pattern_strength,tail_mean_min_z,tail_mean_spatial_growth_term,tail_mean_meanfield_growth_term,tail_mean_spatial_covariance_bonus,tail_mean_relative_covariance_bonus,tail_mean_cov_w_local_growth,tail_fraction_positive_covariance,tail_persistent,turing_available,turing_growth_at_stress,turing_best_k_at_stress,turing_unstable_at_stress,diagnosis
M_001,baseline_64_near_threshold,mu=0.85|DwDu=100|eta=0.005|gamma=3.73|beta1=0.5,0.85,100.0,0.005,0.3957605115076876,200.0,64,64,20.0,20.0,0.01,20260621,C_seed_validation,-0.0001530683493911611,0.0005,no_measurable_effect,0.017707025466932286,0.015692911108559512,1.2223509145035287e-24,1.217871000840295,-8.928079571791136e-05,-8.928079571791147e-05,1.1415397873765648e-19,1.1271059458815554e-16,-2.1289461523769292e-25,0.4230769230769231,True,True,-0.0021074722508193696,0.0001,False,positive_covariance_without_threshold_support
M_002,candidate_64_near_threshold,mu=0.85|DwDu=150|eta=0.005|gamma=3.73|beta1=0.5,0.85,150.0,0.005,0.3966205507912011,200.0,64,64,20.0,20.0,0.0067,20260621,D_grid_escalation,0.00024458269898269824,0.00075,inconclusive_candidate,0.016453764978741053,0.014501530198174066,3.0950785215986686e-26,1.216422754828786,-8.886945413294347e-05,-8.88694541329431e-05,-3.669607353027861e-19,-4.3733489049528066e-15,-4.617860177263076e-27,0.34615384615384615,False,True,-0.0012512149519661334,0.0001,False,tail_predator_not_persistent
M_003,candidate_96_grid_escalation,mu=0.85|DwDu=150|eta=0.005|gamma=3.73|beta1=0.5,0.85,150.0,0.005,0.3966205507912011,250.0,96,96,20.0,20.0,0.00293,20260624,D_grid_escalation,0.00024458269898269824,0.00075,inconclusive_candidate,0.01341702015703445,0.011865554816775504,8.767452317488232e-28,1.2128908756956047,-5.605864848224491e-05,-5.605864848224484e-05,-7.628761253980666e-20,-1.0400081666043075e-15,-1.3325716900181454e-28,0.5161290322580645,False,True,-0.0012512149519661334,0.0001,False,tail_predator_not_persistent
M_004,ratio_120_64_same_stress_window,mu=0.85|DwDu=120|eta=0.005|gamma=3.73|beta1=0.5,0.85,120.0,0.005,0.3966205507912011,200.0,64,64,20.0,20.0,0.008,20260625,none,nan,nan,none,0.016411486956593693,0.014501307372778402,3.013782703818021e-25,1.216373511207661,-8.836868080920508e-05,-8.83686808092039e-05,-1.1784538386163466e-18,-1.2211303069613822e-14,-5.040226144777132e-26,0.2727272727272727,False,True,-0.001251211954960588,0.0001,False,tail_predator_not_persistent
M_005,ratio_140_64_same_stress_window,mu=0.85|DwDu=140|eta=0.005|gamma=3.73|beta1=0.5,0.85,140.0,0.005,0.3966205507912011,200.0,64,64,20.0,20.0,0.0071266601878846765,20260625,none,nan,nan,none,0.016404300285427026,0.014501360802384497,6.767973732317489e-26,1.2163650797386392,-8.824672786479102e-05,-8.824672786479088e-05,-1.259255648251393e-19,-2.4245980985190445e-15,-1.0739988656926528e-26,0.4583333333333333,False,True,-0.0012512139529642842,0.0001,False,tail_predator_not_persistent
M_006,ratio_160_64_same_stress_window,mu=0.85|DwDu=160|eta=0.005|gamma=3.73|beta1=0.5,0.85,160.0,0.005,0.3966205507912011,200.0,64,64,20.0,20.0,0.0062358276643990915,20260625,none,nan,nan,none,0.016446111710323487,0.014501650041804915,1.6513877165330923e-26,1.2164137677148077,-8.87345993451803e-05,-8.873459934518022e-05,-8.131516293641283e-20,-1.9983134327487737e-15,-2.4672573426531362e-27,0.48148148148148145,False,True,-0.0012512159509679818,0.0001,False,tail_predator_not_persistent
M_007,ratio_180_64_same_stress_window,mu=0.85|DwDu=180|eta=0.005|gamma=3.73|beta1=0.5,0.85,180.0,0.005,0.3966205507912011,200.0,64,64,20.0,20.0,0.005542957923910304,20260625,none,nan,nan,none,0.016416359499703534,0.014501874994562892,4.1010135549907266e-27,1.2163791412797509,-8.839895506729248e-05,-8.839895506729274e-05,2.5006598494423733e-19,2.9421307785260455e-15,-5.53452412537437e-28,0.5806451612903226,False,True,-0.001251217948971678,0.0001,False,tail_predator_not_persistent
