parameter_set_label,stress,equilibrium_id,n_star,w_star,q_star,z_star,selection_gradient,predator_growth_factor,max_real_eigenvalue,stability_label,physical,notes
weak_or_absent_branch,0.0,weak_or_absent_branch_s0_eq01,3.249314245180177,1.4336762107403558,5.5453127257031055e-11,1.983676210746134,-0.10413237892856453,-8.493206138382448e-15,-0.00520661894630321,stable,True,least_squares_residual=2.893e-13
weak_or_absent_branch,0.0,weak_or_absent_branch_s0_eq02,5.666666648485746,9.999929582918802e-09,0.9999999999990596,1.0000000081809912,-0.44999999818148473,-0.015000001577075681,0.02249999990841273,unstable,True,least_squares_residual=1.500e-10
weak_or_absent_branch,0.0,weak_or_absent_branch_s0_eq03,6.116666646643302,9.999307761594672e-09,9.99999914141925e-11,0.5500000100240573,-0.2474999990112065,0.10185000100305769,0.10185000190358687,unstable,True,least_squares_residual=1.018e-09
weak_or_absent_branch,0.0,weak_or_absent_branch_s0_eq04,1e-08,1e-08,0.9999999999,6.666666646666667,-2.9999999854999997,-0.100000001,3.116666645966667,unstable,True,least_squares_residual=3.118e-08
weak_or_absent_branch,0.0,weak_or_absent_branch_s0_eq05,1e-08,1e-08,1e-10,6.666666646666667,-2.9999999854999997,-0.09999999800000002,6.116666626366667,unstable,True,least_squares_residual=6.117e-08
weak_or_absent_branch,0.11765625,weak_or_absent_branch_s0p11765625_eq01,4.848939232377412,0.6338637171437084,9.967560370989425e-12,1.1838637171455466,-0.18411362828645628,-4.773959005888173e-15,-0.009205681414478892,stable,True,least_squares_residual=9.295e-14
weak_or_absent_branch,0.11765625,weak_or_absent_branch_s0p11765625_eq02,6.116666646641951,9.999983293644187e-09,9.999999141373438e-11,0.5500000100247326,-0.24749999901113884,-0.01580624899687415,-0.012374999948639945,stable,True,least_squares_residual=1.581e-10
weak_or_absent_branch,0.11765625,weak_or_absent_branch_s0p11765625_eq03,5.66666664849562,9.994501002796172e-09,0.9999999999990555,1.0000000081765459,-0.44999999818247005,-0.1326562515762187,0.02249999990971074,unstable,True,least_squares_residual=1.326e-09
weak_or_absent_branch,0.11765625,weak_or_absent_branch_s0p11765625_eq04,1e-08,1e-08,0.9999999999,6.666666646666667,-2.9999999854999997,-0.217656251,3.116666645966667,unstable,True,least_squares_residual=3.124e-08
weak_or_absent_branch,0.11765625,weak_or_absent_branch_s0p11765625_eq05,1e-08,1e-08,1e-10,6.666666646666667,-2.9999999854999997,-0.217656248,6.116666626366667,unstable,True,least_squares_residual=6.121e-08
