stress,q_star,n_star,w_star,z_star,A1,A2,A3,A1A2_minus_A3,minimum_rh_margin,routh_hurwitz_stable,max_real_eigenvalue,eigenvalues_real,eigenvalues_imag,eigenvalue_stable
-0.11313887888888888,0.9999999710634194,4.833333333333334,0.6416666666666666,1.1916666666666664,3.3320278321134422,0.3721666670772441,4.652083195447233e-10,1.2400696924210666,4.652083195447233e-10,True,-1.2499999755605785e-09,-3.216315726;-0.115712105;-1.249999976e-09,0;0;0,True
-0.11279329557555555,0.9989999711212926,4.833333333333334,0.6416666666666666,1.1916666666666664,3.333905582004771,0.372180481959024,1.6061211177472262e-05,1.2407985251052387,1.6061211177472262e-05,True,-4.317105654234979e-05,-3.218260664;-0.1156017472;-4.317105654e-05,0;0;0,True
-0.11244771226222221,0.9979999711791657,4.833333333333334,0.6416666666666666,1.1916666666666664,3.3357833318961,0.37219354894096224,3.2089803501041124e-05,1.241524946993016,3.2089803501041124e-05,True,-8.628477862434435e-05,-3.220205753;-0.1154912939;-8.628477862e-05,0;0;0,True
-0.11210212894888888,0.9969999712370389,4.833333333333334,0.6416666666666666,1.1916666666666664,3.3376610817874286,0.3722058680230571,4.8086242179026047e-05,1.2422489538712866,4.8086242179026047e-05,True,-0.00012934260737373497,-3.222150994;-0.1153807452;-0.0001293426074,0;0;0,True
-0.11175654563555554,0.9959999712949121,4.833333333333334,0.6416666666666666,1.1916666666666664,3.339538831678757,0.3722174392053068,6.405052721142547e-05,1.2429705415269376,6.405052721142547e-05,True,-0.0001723447336951491,-3.224096386;-0.1152701013;-0.0001723447337,0;0;0,True
-0.11141096232222221,0.9949999713527852,4.833333333333334,0.6416666666666666,1.1916666666666664,3.341416581570086,0.3722282624877131,7.998265859824436e-05,1.2436897057468688,7.998265859824436e-05,True,-0.0002152913482732426,-3.226041928;-0.1151593622;-0.0002152913483,0;0;0,True
-0.11106537900888888,0.9939999714106584,4.833333333333334,0.6416666666666666,1.1916666666666664,3.343294331461415,0.37223833787027516,9.588263633947584e-05,1.2444064423179704,9.588263633947584e-05,True,-0.00025818264157580895,-3.227987621;-0.1150485279;-0.0002581826416,0;0;0,True
-0.11071979569555554,0.9929999714685316,4.833333333333334,0.6416666666666666,1.1916666666666664,3.345172081352743,0.37224766535299203,0.00011175046043512527,1.2451207470271326,0.00011175046043512527,True,-0.0003010188038570177,-3.229933464;-0.1149375987;-0.0003010188039,0;0;0,True
-0.11037421238222221,0.9919999715264046,4.833333333333334,0.6416666666666666,1.1916666666666664,3.347049831244072,0.3722562449358664,0.00012758613088519253,1.2458326156612585,0.00012758613088519253,True,-0.00034380002516054423,-3.231879457;-0.1148265745;-0.0003438000252,0;0;0,True
-0.11002862906888888,0.9909999715842779,4.833333333333334,0.6416666666666666,1.1916666666666664,3.3489275811354005,0.3722640766188974,0.00014338964768967227,1.2465420440072377,0.00014338964768967227,True,-0.000386526495322759,-3.233825599;-0.1147154556;-0.0003865264953,0;0;0,True
-0.10968304575555554,0.989999971642151,4.833333333333334,0.6416666666666666,1.1916666666666664,3.3508053310267294,0.3722711604020841,0.0001591610108485703,1.2472490278519612,0.0001591610108485703,True,-0.0004291984039759702,-3.235771891;-0.1146042418;-0.000429198404,0;0;0,True
