stress,q0,w0_scale,n0,w0,z0,classification,basin_label,tail_mean_w,tail_mean_q,q_change,selection_gradient_tail_mean,predator_growth_factor_tail_mean,relative_change_between_last_windows,physical,notes
0.1584375,0.0,0.02,4.8333333333389445,0.012833333333268906,1.8204999999944536,persistent_steady,persistent_basin,1.3093869639073143,0.0,0.0,0.20031608917217897,-5.4518803737642254e-14,3.041569943588796e-12,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.0,0.05,4.8333333333389445,0.032083333333172266,1.8012499999945502,persistent_steady,persistent_basin,1.3093869638963085,0.0,0.0,0.20031608916949,2.1116188358914237e-12,-5.265590777801903e-10,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.0,0.1,4.8333333333389445,0.06416666666634453,1.769166666661378,persistent_steady,persistent_basin,1.309386963907042,0.0,0.0,0.20031608917211238,-9.20388593871349e-16,6.274425062024268e-15,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.0,0.2,4.8333333333389445,0.12833333333268906,1.7049999999950334,persistent_steady,persistent_basin,1.309386963907038,0.0,0.0,0.20031608917211152,-1.5214167374492887e-16,-4.9177926161811434e-15,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.0,0.5,4.8333333333389445,0.32083333333172265,1.5124999999959998,persistent_steady,persistent_basin,1.3093869639070377,0.0,0.0,0.2003160891721114,-7.127357688951622e-17,0.0,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.0,1.0,4.8333333333389445,0.6416666666634453,1.1916666666642772,persistent_steady,persistent_basin,1.3093869639070501,0.0,0.0,0.2003160891721144,-2.558310216620808e-15,-1.149745997851868e-13,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.0,1.5,4.8333333333389445,0.962499999995168,0.8708333333325544,persistent_steady,persistent_basin,1.3093869639070383,0.0,0.0,0.20031608917211147,-1.8366652506144565e-16,-1.3566324458430784e-15,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.1,0.02,4.8333333333389445,0.012833333333268906,1.8204999999944536,persistent_steady,persistent_basin,0.6416650911916846,0.21415089503767898,0.11415089503767897,-5.066701297269985e-07,4.397234695293669e-08,0.0010831754837201972,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.1,0.05,4.8333333333389445,0.032083333333172266,1.8012499999945502,persistent_steady,persistent_basin,0.6416667618525792,0.21415078548898472,0.11415078548898472,3.0612077996626124e-08,-2.654726687450009e-09,-6.630229729249473e-05,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.1,0.1,4.8333333333389445,0.06416666666634453,1.769166666661378,persistent_steady,persistent_basin,0.6416666574213665,0.21415079359029826,0.11415079359029826,-3.012699264271083e-09,-1.45381527118632e-10,-3.9710533024605185e-06,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.1,0.2,4.8333333333389445,0.12833333333268906,1.7049999999950334,persistent_steady,persistent_basin,0.6416666619736553,0.21415079195002096,0.11415079195002095,-1.5080861271710978e-09,1.6288853599277786e-10,3.6705615206714534e-06,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.1,0.5,4.8333333333389445,0.32083333333172265,1.5124999999959998,persistent_steady,persistent_basin,0.6416666668234434,0.21415079149053526,0.11415079149053525,5.788184609252837e-11,7.203127018034159e-11,1.1916750552376194e-06,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.1,1.0,4.8333333333389445,0.6416666666634453,1.1916666666642772,persistent_steady,persistent_basin,0.6416666669324569,0.2141507915297616,0.1141507915297616,9.147548288119454e-11,5.3985928210673494e-11,4.779356822080026e-07,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.1,1.5,4.8333333333389445,0.962499999995168,0.8708333333325544,persistent_steady,persistent_basin,0.6416666672921167,0.21415079153737582,0.11415079153737581,2.061553061320039e-10,3.3855404076895734e-11,2.884157934375822e-07,True,steady_by_tail_change_and_rhs_residual
0.1584375,0.2,0.02,4.8333333333389445,0.012833333333268906,1.8204999999944536,declining_transient,transient_basin,0.6416909821597249,0.21414936058026465,0.014149360580264642,7.814644662492476e-06,-7.318388225111509e-07,-0.032824195692148346,True,window_change_indicates_transient
0.1584375,0.2,0.05,4.8333333333389445,0.032083333333172266,1.8012499999945502,persistent_steady,persistent_basin,0.641666096140648,0.21415078223114475,0.014150782231144743,-1.8199952515913146e-07,3.110198620561968e-08,0.0007541132641979301,True,steady_by_tail_change_and_rhs_residual
