source,kappa,xi,gamma,rho,eta,beta1,beta2,theta,delta,mu,D_u,D_v,D_w,L,n_x,u_star,v_star,w_star,z_star,equilibrium_residual,ode_max_real,continuous_max_spatial_growth,best_k,continuous_turing_unstable,continuous_unstable_windows,discrete_max_spatial_growth,dominant_discrete_mode,dominant_discrete_k,discrete_turing_unstable,pde_success,final_mean_w,var_u,var_v,var_w,pattern_confirmed,negative_detected
"Roy Table 1 / Fig. 4 parameter line, 1D verification",0.15,0.55,3.73,1.76,0.005,0.5,0.4833333333333333,1.0344827586206897,0.1,0.6,0.01,0.01,1.0,20.0,220,0.0011046263204566769,0.32069591883991494,0.9010811897359956,5.4437849317703,9.127173794322476e-11,-0.000586806005532136,0.11610843776080554,3.279042632331903,True,1.94:5.42495,0.11608857237994252,21,3.2986722862692828,True,,nan,nan,nan,nan,False,
"Roy Table 1 / Fig. 4 parameter line, 1D verification",0.15,0.55,3.73,1.76,0.005,0.5,0.4833333333333333,1.0344827586206897,0.1,0.72,0.01,0.01,1.0,20.0,220,0.05750136929540051,0.3744079746018881,0.9384528059320566,5.2963045168373215,1.0800505527451127e-15,-0.02549064757368482,0.1720815106605166,3.279042632331903,True,1.69966:5.99147,0.17206607850647881,21,3.2986722862692828,True,,nan,nan,nan,nan,False,
"Roy Table 1 / Fig. 4 parameter line, 1D verification",0.15,0.55,3.73,1.76,0.005,0.5,0.4833333333333333,1.0344827586206897,0.1,0.8,0.01,0.01,1.0,20.0,220,0.11015564745862852,0.4244749964425574,0.9693518737228218,5.16268414904266,2.3642078120650023e-14,-0.043121097452237835,0.19935137953862947,3.244708154506438,True,1.56232:6.21464,0.19921969093036732,21,3.2986722862692828,True,,nan,nan,nan,nan,False,
"Roy Table 1 / Fig. 4 parameter line, 1D verification",0.15,0.55,3.73,1.76,0.005,0.5,0.4833333333333333,1.0344827586206897,0.1,0.85,0.01,0.01,1.0,20.0,220,0.1544047166977095,0.46648745624142857,0.9924802199434839,5.053294273784045,2.307961417124234e-16,-0.055519946937474626,0.20869182615909515,3.176039198855508,True,1.47648:6.24897,0.2086400077166828,20,3.141592653589793,True,True,1.0588790678857207,0.06292587908770471,0.13314926946579836,0.0006971543905446412,True,False
"Roy Table 1 / Fig. 4 parameter line, 1D verification",0.15,0.55,3.73,1.76,0.005,0.5,0.4833333333333333,1.0344827586206897,0.1,0.89,0.01,0.01,1.0,20.0,220,0.20104327504201602,0.5107047607660172,1.0141762784325083,4.940742352426126,2.8865557684216514e-16,-0.06695629641682427,0.20794989218730545,3.107370243204578,True,1.39065:6.18031,0.20789060178967758,20,3.141592653589793,True,,nan,nan,nan,nan,False,
"Roy Table 1 / Fig. 4 parameter line, 1D verification",0.15,0.55,3.73,1.76,0.005,0.5,0.4833333333333333,1.0344827586206897,0.1,0.95,0.01,0.01,1.0,20.0,220,0.3135929531622922,0.6171272931693278,1.0558927552701578,4.680053665064889,6.197212886390478e-16,-0.08990899347739997,0.17330324137906683,2.849861659513591,True,1.20181:5.66529,0.1732978724559359,18,2.827433388230814,True,,nan,nan,nan,nan,False,
