run_id,scan,axis,mu,D_w_over_D_u,stress,T,n_x,n_y,dt,seed,time,mean_w,var_u,var_v,var_w,pattern_strength,dominant_wavelength,dominant_power,min_z
long_017,longtime,baseline_longtime,0.85,100.0,0.0,35.0,64,64,0.01,20260610,0.0,0.9924801784963114,2.3230661475453544e-12,2.1447780328523148e-11,9.794173478525505e-11,9.794173478525505e-11,2.773500981126145,6.83418638590803e-08,5.053258875408537
long_017,longtime,baseline_longtime,0.85,100.0,0.0,35.0,64,64,0.01,20260610,1.0,0.9924801969214437,1.7402734166655303e-12,1.910052274903062e-11,1.5026958860932815e-13,1.910052274903062e-11,2.773500981126145,1.3141363735849258e-07,5.053274576356035
long_017,longtime,baseline_longtime,0.85,100.0,0.0,35.0,64,64,0.01,20260610,2.0,0.9924802218219018,1.750489927063153e-12,1.798789413190925e-11,4.849409347442088e-13,1.798789413190925e-11,2.773500981126145,1.7325896310984292e-07,5.0532741161653965
long_017,longtime,baseline_longtime,0.85,100.0,0.0,35.0,64,64,0.01,20260610,3.0,0.9924802352406829,2.0530584136143933e-12,1.8628932434550176e-11,4.054207868351474e-13,1.8628932434550176e-11,2.773500981126145,2.3298349973820097e-07,5.053271776188569
long_017,longtime,baseline_longtime,0.85,100.0,0.0,35.0,64,64,0.01,20260610,4.0,0.9924802356670994,2.6613575908457785e-12,2.1491343077532125e-11,2.5354076009853805e-13,2.1491343077532125e-11,2.773500981126145,3.153472715659912e-07,5.053268802160732
long_017,longtime,baseline_longtime,0.85,100.0,0.0,35.0,64,64,0.01,20260610,5.0,0.9924802285425582,3.5955373818278113e-12,2.6500485067535647e-11,2.672566996846226e-13,2.6500485067535647e-11,2.1081851067789192,4.347334129632161e-07,5.0532660020247855
long_017,longtime,baseline_longtime,0.85,100.0,0.0,35.0,64,64,0.01,20260610,6.0,0.9924802210168281,4.948480443403459e-12,3.4061136929406933e-11,3.4667593057922424e-13,3.4061136929406933e-11,2.1081851067789192,6.891451144958648e-07,5.05326334373736
long_017,longtime,baseline_longtime,0.85,100.0,0.0,35.0,64,64,0.01,20260610,7.0,0.9924802173207731,6.903644218652196e-12,4.5191506466427145e-11,4.422649125659268e-13,4.5191506466427145e-11,2.1081851067789192,1.073405952275986e-06,5.053260350666157
long_017,longtime,baseline_longtime,0.85,100.0,0.0,35.0,64,64,0.01,20260610,8.0,0.9924802176708125,9.728486583868282e-12,6.13977327712615e-11,5.886936414683741e-13,6.13977327712615e-11,2.1081851067789192,1.6523205495662787e-06,5.053256531591254
long_017,longtime,baseline_longtime,0.85,100.0,0.0,35.0,64,64,0.01,20260610,9.0,0.9924802199129299,1.3809801437024178e-11,8.488207949518701e-11,8.131934930529484e-13,8.488207949518701e-11,2.1081851067789192,2.522861966818377e-06,5.053249701942564
long_017,longtime,baseline_longtime,0.85,100.0,0.0,35.0,64,64,0.01,20260610,10.0,0.9924802217991107,1.9717683418834797e-11,1.1892101623470894e-10,1.1386275204835352e-12,1.1892101623470894e-10,2.1081851067789192,3.830222530452563e-06,5.053239819920492
long_017,longtime,baseline_longtime,0.85,100.0,0.0,35.0,64,64,0.01,20260610,11.0,0.9924802223149944,2.8291129766293443e-11,1.6834576844576797e-10,1.6087304599602706e-12,1.6834576844576797e-10,2.1081851067789192,5.792082865001555e-06,5.053227901629605
long_017,longtime,baseline_longtime,0.85,100.0,0.0,35.0,64,64,0.01,20260610,12.0,0.9924802217095862,4.076381575944557e-11,2.4026039418646503e-10,2.2913162016417885e-12,2.4026039418646503e-10,2.1081851067789192,8.73509352415286e-06,5.053213586376449
long_017,longtime,baseline_longtime,0.85,100.0,0.0,35.0,64,64,0.01,20260610,13.0,0.9924802207827067,5.895267344876562e-11,3.4513078110914067e-10,3.283390415709636e-12,3.4513078110914067e-10,2.1081851067789192,1.3149591644499808e-05,5.053196385012483
long_017,longtime,baseline_longtime,0.85,100.0,0.0,35.0,64,64,0.01,20260610,14.0,0.9924802201728917,8.553722176453509e-11,4.98396720871241e-10,4.727413632556539e-12,4.98396720871241e-10,2.1081851067789192,1.9771688467718745e-05,5.053175673150857
long_017,longtime,baseline_longtime,0.85,100.0,0.0,35.0,64,64,0.01,20260610,15.0,0.9924802200600762,1.2447345194681687e-10,7.228585355475915e-10,6.834079798917266e-12,7.228585355475915e-10,2.1081851067789192,2.9706539119836952e-05,5.053150691584702
long_017,longtime,baseline_longtime,0.85,100.0,0.0,35.0,64,64,0.01,20260610,16.0,0.9924802202715938,1.8160858267519354e-10,1.0522222653786442e-09,9.914059640832038e-12,1.0522222653786442e-09,2.1081851067789192,4.461358407484336e-05,5.053120534500509
long_017,longtime,baseline_longtime,0.85,100.0,0.0,35.0,64,64,0.01,20260610,17.0,0.9924802205494216,2.6559472390189676e-10,1.5363689626129966e-09,1.44257084754487e-11,1.5363689626129966e-09,2.1081851067789192,6.698499037247563e-05,5.053084119112972
long_017,longtime,baseline_longtime,0.85,100.0,0.0,35.0,64,64,0.01,20260610,18.0,0.992480220750409,3.892474396951418e-10,2.249190306038254e-09,2.104631233819685e-11,2.249190306038254e-09,2.1081851067789192,0.00010056419476381375,5.053040140003113
long_017,longtime,baseline_longtime,0.85,100.0,0.0,35.0,64,64,0.01,20260610,19.0,0.992480220893041,5.715672160788038e-10,3.3002486770354976e-09,3.07777353946893e-11,3.3002486770354976e-09,2.1081851067789192,0.00015097503578676732,5.052987013631373
long_017,longtime,baseline_longtime,0.85,100.0,0.0,35.0,64,64,0.01,20260610,20.0,0.9924802210937931,8.407492250828111e-10,4.8521392351613186e-09,4.51034304865033e-11,4.8521392351613186e-09,2.1081851067789192,0.00022666746377207088,5.052922815369584
