shape_label,stress,baseline_state,perturbation_type,seed,T,time,var_n,var_w,var_q,cv_n,cv_w,cv_q
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1360.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1400.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1440.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1480.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1520.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1560.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1600.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1640.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1680.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1720.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1760.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1800.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1840.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1880.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1920.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,1960.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2000.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
linear_reference,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,2040.0,0.0,4.930380657631324e-32,0.0,0.0,3.460435401429061e-16,0.0
