case_label,stress,baseline_state,perturbation_type,seed,amplitude,q_amplitude,initial_mean_n,initial_mean_w,initial_mean_q,final_mean_n,final_mean_w,final_mean_q,classification,basin_label,tail_mean_w,tail_mean_q,relative_change_between_last_windows,normalized_residual,initial_cv_n,initial_cv_w,initial_cv_q,final_cv_n,final_cv_w,final_cv_q,max_cv_n,max_cv_w,max_cv_q,spatial_pattern_persisted,basin_changed_relative_to_homogeneous_control,physical,notes
compensation_branch_state_homogeneous_control_s0.158438_seed20260702,0.1584375,compensation_branch_state,homogeneous_control,20260702,0.0,0.0,4.833333333333334,0.6416666666666664,0.2141507917369988,4.833333333333334,0.6416666666666664,0.2141507917369988,persistent_steady,persistent_basin,0.6416666666666665,0.21415079173699872,0.0,3.303562897875801e-16,0.0,3.460435401429061e-16,3.888228764951176e-16,0.0,3.460435401429061e-16,3.888228764951176e-16,0.0,3.460435401429061e-16,3.888228764951176e-16,False,False,True,spatial_cv_small
compensation_branch_state_local_predator_patch_s0.158438_seed20260702,0.1584375,compensation_branch_state,local_predator_patch,20260702,0.5,0.0,4.833333333333334,0.6612001718857323,0.2141507917369988,4.833333333333567,0.6416666666665471,0.21415079173699486,persistent_steady,persistent_basin,0.6416666666599361,0.21415079173668314,1.0495763502874219e-08,2.2392313404673335e-15,0.0,0.07933902518392213,3.888228764951176e-16,3.196537692769957e-14,1.239224769413467e-13,7.382080419339621e-15,0.014507000569268414,0.07933902518392213,0.008851194293475253,False,False,True,large_initial_or_transient_cv_decayed
compensation_branch_state_local_defense_patch_s0.158438_seed20260702,0.1584375,compensation_branch_state,local_defense_patch,20260702,0.0,0.2,4.833333333333334,0.6416666666666664,0.22632752226316977,4.833333333337283,0.6416666666646454,0.2141507917367742,persistent_steady,persistent_basin,0.6416666665367883,0.21415079172374105,2.5775713655111795e-07,5.960236013810915e-14,0.0,3.460435401429061e-16,0.14448839308821476,1.0122562744648243e-12,3.9246143234296984e-12,2.8268237470455705e-13,0.04312353431375317,0.18639241838924486,0.14448839308821476,False,False,True,large_initial_or_transient_cv_decayed
compensation_branch_state_sinusoidal_mode_s0.158438_seed20260702,0.1584375,compensation_branch_state,sinusoidal_mode,20260702,0.1,0.1,5.023068628346127,0.6164776706046233,0.2534063700155078,4.833333333338562,0.6416666666640174,0.21415079173614782,persistent_steady,persistent_basin,0.6416666664893116,0.21415079168565815,6.075812736987741e-07,1.2835480282188723e-13,0.028568344914455746,0.030902923965286728,0.11716284721933261,1.714342251903646e-12,6.64864079807247e-12,5.74506723257649e-13,0.04723194296467383,0.26434833702432076,0.11716284721933261,False,False,True,large_initial_or_transient_cv_decayed
compensation_branch_state_random_heterogeneity_s0.158438_seed20260702,0.1584375,compensation_branch_state,random_heterogeneity,20260702,0.1,0.1,4.833333333333334,0.6416666666666666,0.21415079173699886,4.833333333332596,0.6416666666670483,0.2141507917369494,persistent_steady,persistent_basin,0.6416666666901807,0.2141507917339237,-4.529325465416772e-09,4.796524354616177e-15,0.028230314444889854,0.029006267749082725,0.11390430130179834,2.9214575343861066e-14,1.1205107461009515e-13,2.151197870815405e-13,0.028230314444889854,0.10012391518010048,0.11390430130179834,False,False,True,large_initial_or_transient_cv_decayed
compensation_branch_state_random_heterogeneity_s0.158438_seed20260703,0.1584375,compensation_branch_state,random_heterogeneity,20260703,0.1,0.1,4.833333333333334,0.6416666666666666,0.2141507917369989,4.833333333332129,0.6416666666672901,0.21415079173692103,persistent_steady,persistent_basin,0.6416666667049676,0.21415079173214147,-8.354046907708236e-09,6.688446321410923e-15,0.03150960911033005,0.03209766408093053,0.1432266212330347,6.054363015667497e-14,2.3609068817243796e-13,3.4034000052794373e-13,0.03274038462243677,0.12770174797530756,0.1432266212330347,False,False,True,large_initial_or_transient_cv_decayed
basin_boundary_state_homogeneous_control_s0.158438_seed20260702,0.1584375,basin_boundary_state,homogeneous_control,20260702,0.0,0.0,4.833333333338944,0.06416666666634453,0.0,3.4978927388525993,1.3093869639070337,0.0,persistent_steady,persistent_basin,1.309386963907034,0.0,0.0,3.5841101374310285e-16,1.8376105235153676e-16,0.0,0.0,2.5391814043774e-16,1.6957905573038564e-16,0.0,3.808772106565456e-16,3.959016915356424e-16,0.0,False,False,True,spatial_cv_small
basin_boundary_state_local_predator_patch_s0.158438_seed20260702,0.1584375,basin_boundary_state,local_predator_patch,20260702,0.5,0.0,4.833333333338944,0.0661200171882413,0.0,3.4978927388525993,1.3093869639070337,0.0,persistent_steady,persistent_basin,1.309386963907034,0.0,0.0,3.5841101374310285e-16,1.8376105235153676e-16,0.07933902518392213,0.0,2.5391814043774e-16,1.6957905573038564e-16,0.0,0.050245534655285244,0.21190381957777982,0.0,False,False,True,large_initial_or_transient_cv_decayed
basin_boundary_state_local_defense_patch_s0.158438_seed20260702,0.1584375,basin_boundary_state,local_defense_patch,20260702,0.0,0.2,4.833333333338944,0.06416666666634453,0.012176730526170843,4.833334007345696,0.6416663202009991,0.214150787160384,declining_transient,transient_basin,0.6416440198748201,0.21415063664312453,-0.042856036086801795,8.904856612013295e-09,1.8376105235153676e-16,0.0,2.685589529402692,2.7887984832444157e-07,1.0829716082986792e-06,1.7813049423060074e-07,0.12965172213396217,0.24848781247135993,2.685589529402692,False,True,True,large_initial_or_transient_cv_decayed;transient_classification
basin_boundary_state_sinusoidal_mode_s0.158438_seed20260702,0.1584375,basin_boundary_state,sinusoidal_mode,20260702,0.1,0.1,5.023068628351957,0.061647767060152854,0.03925557827850891,4.833333331377583,0.6416666676785426,0.2141507916091659,persistent_steady,persistent_basin,0.6416667287629296,0.21415078370269366,-1.1882215270751404e-05,6.791355323865233e-12,0.028568344914455743,0.03090292396528673,0.7563208368474543,7.99897469991731e-11,3.1149086633059767e-10,3.3068780463070725e-10,0.16430530380553063,0.47914402078348967,0.7563208368474543,False,False,True,large_initial_or_transient_cv_decayed
