nu,stress,classification,persistent_predator,tail_mean_w,min_w,final_w,final_q,tail_mean_q,q_change_from_initial,solver_success,physical,notes
0.005,0.08,persistent,True,0.6310244194671049,0.027387032871952082,0.6360999624255311,0.4426779856695617,0.4440898340848502,-0.22852490749540882,True,True,finite_time_nu_sensitivity_from_pre_stress_branch_state
0.005,0.1,persistent,True,0.6747138583613808,1.819427589272714e-05,0.6588159748322039,0.37897956809412314,0.37492659539218137,-0.29768814618807765,True,True,finite_time_nu_sensitivity_from_pre_stress_branch_state
0.005,0.1191,extinct_numerical_boundary_crossing,False,-0.18272140633621445,-0.21023306703120234,-0.21023306703120234,0.06123421821171881,0.09909449539931374,-0.5735202461809453,True,False,predator_lost_before_adaptation_solver_crossed_boundary
0.005,0.14,extinct_numerical_boundary_crossing,False,-1.6960350295340238e-06,-2.470021017176783e-05,-2.470021017176783e-05,0.0743617039507627,0.10623905128799142,-0.5663756902922676,True,False,predator_lost_before_adaptation_solver_crossed_boundary
0.005,0.16,extinct,False,3.555464341646424e-11,-1.929095182819563e-10,3.812768936234274e-11,0.0742362807391147,0.10606438558855377,-0.5665503559917052,True,True,finite_time_nu_sensitivity_from_pre_stress_branch_state
0.01,0.08,persistent,True,0.6415149011267165,0.0571879819497142,0.6416305418571608,0.4411319296904,0.4411634042386237,-0.2314513373416353,True,True,finite_time_nu_sensitivity_from_pre_stress_branch_state
0.01,0.1,persistent,True,0.6422358027685483,0.0015495420031424972,0.6417872379800453,0.3832202432484026,0.3831134239076001,-0.2895013176726589,True,True,finite_time_nu_sensitivity_from_pre_stress_branch_state
0.01,0.1191,persistent,True,0.667641156355211,8.748300806538959e-07,0.6470494949842154,0.32687355424859366,0.3224420293052833,-0.3501727122749757,True,True,finite_time_nu_sensitivity_from_pre_stress_branch_state
0.01,0.14,persistent,True,1.30505224564038,7.640371244166941e-13,1.2337763181285297,0.08224155023332297,0.044489407472981614,-0.6281253341072774,True,True,finite_time_nu_sensitivity_from_pre_stress_branch_state
0.01,0.16,extinct,False,-1.1284700715593864e-12,-7.1404936445050696e-12,-7.1404936445050696e-12,0.004371104073113715,0.009759441407455816,-0.6628553001728033,True,True,finite_time_nu_sensitivity_from_pre_stress_branch_state
0.025,0.08,persistent,True,0.6416666660796589,0.11201462306235378,0.6416666664723782,0.44112209634214244,0.44112209643843675,-0.23149264514182227,True,True,finite_time_nu_sensitivity_from_pre_stress_branch_state
0.025,0.1,persistent,True,0.6416666679479605,0.023747467686059703,0.641666667064187,0.38324893489062734,0.3832489347073219,-0.2893658068729371,True,True,finite_time_nu_sensitivity_from_pre_stress_branch_state
0.025,0.1191,persistent,True,0.6416666715273474,0.0012848522718653416,0.6416666667596427,0.3279800658953787,0.32798006508917676,-0.34463467649108226,True,True,finite_time_nu_sensitivity_from_pre_stress_branch_state
0.025,0.14,persistent,True,0.6416798934798249,5.479577712768372e-06,0.6416666742138288,0.2675026114161549,0.2675010061722214,-0.40511373540803763,True,True,finite_time_nu_sensitivity_from_pre_stress_branch_state
0.025,0.16,persistent,True,0.43496462109086426,8.740281867187004e-10,1.3021533558962899,8.982695574051758e-06,9.020311170501579e-06,-0.6726057212690886,True,True,finite_time_nu_sensitivity_from_pre_stress_branch_state
0.05,0.08,persistent,True,0.6416666665064512,0.16338962348655992,0.6416666666305445,0.44112209629987126,0.4411220963182098,-0.2314926452620492,True,True,finite_time_nu_sensitivity_from_pre_stress_branch_state
0.05,0.1,persistent,True,0.6416666667792136,0.06697230373888524,0.6416666666635799,0.38324893497360535,0.3832489349580824,-0.28936580662217665,True,True,finite_time_nu_sensitivity_from_pre_stress_branch_state
0.05,0.1191,persistent,True,0.6416666665441498,0.015398113683427387,0.6416666666792138,0.32798006590961565,0.3279800659120312,-0.3446346756682278,True,True,finite_time_nu_sensitivity_from_pre_stress_branch_state
0.05,0.14,persistent,True,0.6416666666690879,0.0010261684903001558,0.6416666666668372,0.26750261233018563,0.26750261232969563,-0.4051121292505634,True,True,finite_time_nu_sensitivity_from_pre_stress_branch_state
0.05,0.16,declining_transient,False,0.7654387577405025,1.318100942106873e-05,0.64167097244022,0.20963264129061518,0.18216513136363535,-0.4904496102166237,True,True,finite_time_nu_sensitivity_from_pre_stress_branch_state
0.1,0.08,persistent,True,0.6416666666629258,0.22100019318847486,0.6416666666664635,0.4411220962945237,0.4411220962951767,-0.23149264528508234,True,True,finite_time_nu_sensitivity_from_pre_stress_branch_state
0.1,0.1,persistent,True,0.6416666666678631,0.1282337096696605,0.6416666666666899,0.38324893497307416,0.38324893497282053,-0.2893658066074385,True,True,finite_time_nu_sensitivity_from_pre_stress_branch_state
0.1,0.1191,persistent,True,0.6416666666514497,0.05875788392335864,0.6416666666655408,0.3279800659111676,0.3279800659144654,-0.34463467566579364,True,True,finite_time_nu_sensitivity_from_pre_stress_branch_state
0.1,0.14,persistent,True,0.6416666666710155,0.015124812711483396,0.6416666666675053,0.26750261233024886,0.2675026123272477,-0.4051121292530113,True,True,finite_time_nu_sensitivity_from_pre_stress_branch_state
0.1,0.16,persistent,True,0.6416666668719758,0.001704326301090837,0.6416666666270174,0.20962945101314373,0.20962945100873356,-0.4629852905715255,True,True,finite_time_nu_sensitivity_from_pre_stress_branch_state
