case_label,stress,time,n,w,q,z,r_q,a_q,b_q,selection_gradient,predator_growth_factor,classification
persistent_case,0.1584375,0.0,4.8333333333389445,0.06416666666634453,0.10000000000000002,1.769166666661378,0.9650000000000001,0.935,0.07400000000000001,-0.5774999999983582,0.36150111111001865,persistent_steady
persistent_case,0.1584375,5.0,5.954973587123545,0.07249591462358322,0.09575104758998834,0.6391971649195386,0.9664871333435041,0.9377618190665076,0.0742549371446007,-0.1765966632165094,0.00970747571248414,persistent_steady
persistent_case,0.1584375,10.0,5.948185544625405,0.07630679090576917,0.09201079764204899,0.6421743311354929,0.9677962208252828,0.9401929815326682,0.07447935214147706,-0.17516160180867255,0.010795291187908045,persistent_steady
persistent_case,0.1584375,15.0,5.94007958303025,0.08076917364662432,0.08843314346205775,0.6458179099897929,0.9690483997882797,0.9425184567496624,0.07469401139227654,-0.1735363056261217,0.011950562392125986,persistent_steady
persistent_case,0.1584375,20.0,5.93041627197317,0.08600507746502112,0.08501533162915412,0.6502453172284755,0.9702446339297961,0.9447400344410498,0.07489908010225076,-0.17168256067770266,0.013189220387871913,persistent_steady
persistent_case,0.1584375,25.0,5.918885910637456,0.09217224901878805,0.08175507372450691,0.6556085070104233,0.9713857241964226,0.9468592020790705,0.07509469557652959,-0.1695510155914359,0.014530910353085538,persistent_steady
persistent_case,0.1584375,30.0,5.905083316517294,0.09947710053418964,0.07865069756968583,0.6621062496151837,0.97247225585061,0.9488770465797043,0.07528095814581885,-0.16707707201809102,0.016000010591040278,persistent_steady
persistent_case,0.1584375,35.0,5.8884707391119715,0.10819358247665906,0.07570135091048007,0.6700023450780364,0.9735045271813321,0.950794121908188,0.0754579189453712,-0.16417499216748432,0.017627096485838455,persistent_steady
persistent_case,0.1584375,40.0,5.868323135365236,0.11869122556748411,0.07290728461229805,0.6796523057339472,0.9744824503856957,0.9526102650020063,0.07562556292326213,-0.16072901038801685,0.019450713384837216,persistent_steady
persistent_case,0.1584375,45.0,5.8436449510235455,0.13147770816479978,0.07027025785617581,0.6915440074783217,0.9754054097503385,0.9543243323934857,0.07578378452862945,-0.15657989231029273,0.021519663111724412,persistent_steady
persistent_case,0.1584375,50.0,5.813041460027269,0.14726484700195544,0.06779413479637734,0.7063603596374427,0.9762720528212679,0.9559338123823548,0.07593235191221735,-0.1515039753218339,0.02389551692546961,persistent_steady
persistent_case,0.1584375,55.0,5.774515402579057,0.16707295873623765,0.0654857875923754,0.7250783053513721,0.9770799743426686,0.957434238064956,0.07607085274445748,-0.14517998369442575,0.02665473099904237,persistent_steady
persistent_case,0.1584375,60.0,5.725140833444579,0.1923986390207881,0.06335649940743256,0.7491271942013,0.9778252252073986,0.9588182753851688,0.07619861003555405,-0.13713540260694274,0.029887842933932013,persistent_steady
persistent_case,0.1584375,65.0,5.660536551043183,0.2254858494905106,0.061424194181887166,0.7806442661329733,0.9785015320363395,0.9600742737817733,0.07631454834908678,-0.12665969097770877,0.03368904745627962,persistent_steady
persistent_case,0.1584375,70.0,5.57403483958918,0.26975438364905746,0.05971703321105359,0.8228774434284298,0.9790990383761312,0.9611839284128152,0.07641697800733678,-0.11266675582806307,0.03811700903594281,persistent_steady
persistent_case,0.1584375,75.0,5.455493326910186,0.33041133861946903,0.05827916782523596,0.8807620011370122,0.9796022912611674,0.9621185409135966,0.07650324993048584,-0.09349933029529936,0.043077676478181504,persistent_steady
persistent_case,0.1584375,80.0,5.290180853152359,0.4150145982542044,0.05717932967237844,0.9614712152601037,0.9799872346146675,0.962833435712954,0.07656924021965729,-0.0667554364758034,0.04801804175605473,persistent_steady
persistent_case,0.1584375,85.0,5.060276891394482,0.5326376281353699,0.05652053430500709,1.0737521471368154,0.9802178129932475,0.9632616527017454,0.07660876794169957,-0.029598793209894947,0.05128742621335895,persistent_steady
persistent_case,0.1584375,90.0,4.757081998868292,0.6873606570405619,0.05643856925978087,1.2222240107578126,0.9802465007590767,0.9633149299811424,0.07661368584441315,0.019006023311130882,0.049539180856305626,persistent_steady
persistent_case,0.1584375,95.0,4.412215210734289,0.8620005127107183,0.057054972539044305,1.3924509432216592,0.9800307596113345,0.9629142678496212,0.07657670164765734,0.07294250313438627,0.03963381876072719,persistent_steady
persistent_case,0.1584375,100.0,4.111068498031341,1.012324253797375,0.058370262118742834,1.543273914837951,0.97957040825844,0.9620593296228171,0.07649778427287543,0.11786489477501083,0.024438206846173788,persistent_steady
persistent_case,0.1584375,105.0,3.921089409476894,1.1055286336075387,0.06022112906221729,1.6400486235822342,0.9789226048282239,0.9608562661095588,0.07638673225626695,0.1445765935911183,0.011682836249614914,persistent_steady
persistent_case,0.1584375,110.0,3.831780234209464,1.1487312149640214,0.06240021774171526,1.6861552174931815,0.9781599237903997,0.9594398584678852,0.0762559869354971,0.15652096360400036,0.00450437631287251,persistent_steady
persistent_case,0.1584375,115.0,3.7998153605186484,1.1640295300512444,0.06476669787196114,1.702821776096774,0.9773316557448136,0.9579016463832253,0.07611399812768234,0.16063157289943808,0.0012452423448705285,persistent_steady
persistent_case,0.1584375,120.0,3.7939623951370502,1.166744491548647,0.06725007520484867,1.7059597799809698,0.976462473678303,0.9562874511168483,0.07596499548770907,0.16129799651328114,-0.00011456845102364444,persistent_steady
persistent_case,0.1584375,125.0,3.799051831241364,1.1642007544386264,0.06981910145603272,1.7034140809866765,0.9755633144903885,0.9546175840535787,0.07581085391263803,0.16053556203977049,-0.0006784458420841244,persistent_steady
persistent_case,0.1584375,130.0,3.8087247901293346,1.159450287101551,0.07246007267779264,1.6984915894357813,0.9746389745627726,0.9529009527594348,0.07565239563933245,0.15917063031348477,-0.0009256265680946951,persistent_steady
persistent_case,0.1584375,135.0,3.820448816193308,1.1537061687599526,0.07516646195925784,1.6925116817134065,0.9736917383142598,0.9511417997264825,0.07549001228244454,0.157529921094277,-0.0010486699392702192,persistent_steady
persistent_case,0.1584375,140.0,3.833228053791746,1.147445098957617,0.07793451675616761,1.6859935139173041,0.9727229191353414,0.949342564108491,0.07532392899462995,0.15574158445139474,-0.0011232095463730163,persistent_steady
persistent_case,0.1584375,145.0,3.84666959922677,1.1408549409250073,0.08076145476756355,1.6791421265148898,0.9717334908313527,0.9475050544010837,0.07515431271394618,0.15385596732104334,-0.0011788933538506297,persistent_steady
persistent_case,0.1584375,150.0,3.8606164112275914,1.1340105107632,0.08364472828891813,1.6720397446758757,0.9707243450988787,0.9456309266122033,0.07498131630266491,0.15189292135952348,-0.0012274014744737272,persistent_steady
persistent_case,0.1584375,155.0,3.875003898913094,1.126942275770199,0.0865817223357056,1.6647204919833738,0.969696397182503,0.9437218804817914,0.07480509665985766,0.1498603070564486,-0.0012733575304996747,persistent_steady
persistent_case,0.1584375,160.0,3.8898036452203133,1.1196633377273035,0.08956962987111708,1.6571996837190501,0.968650629545109,0.9417797405837739,0.07462582220773298,0.14776128022107982,-0.0013185826651369026,persistent_steady
persistent_case,0.1584375,165.0,3.905001031887118,1.112180175530323,0.09260540056099649,1.6494854592492263,0.9675881098036512,0.9398064896353522,0.07444367596634022,0.14559720335748072,-0.0013637715373635562,persistent_steady
persistent_case,0.1584375,170.0,3.920586329273878,1.1044969448274828,0.09568572149428685,1.641583392565306,0.9665099974769995,0.9378042810287135,0.07425885671034278,0.14336882674000673,-0.0014091589600294385,persistent_steady
persistent_case,0.1584375,175.0,3.9365509308903888,1.0966172628224768,0.09880701248991594,1.6334984729538014,0.9654175456285294,0.9357754418815546,0.07407157925060505,0.14107675530077957,-0.001454777795809603,persistent_steady
persistent_case,0.1584375,180.0,3.9528858969748795,1.0885449475342026,0.10196542912432739,1.6252358221575849,0.9643120998064855,0.9337224710691872,0.07388207425254036,0.13872167814207714,-0.001500578059458857,persistent_steady
persistent_case,0.1584375,185.0,3.969581261995405,1.0802843471740822,0.10515687054359264,1.6168010574971796,0.9631950953097426,0.9316480341466647,0.07369058776738444,0.1363044555391406,-0.001546468832682224,persistent_steady
persistent_case,0.1584375,190.0,3.9866257481118277,1.0718404803725945,0.10837699097737903,1.6082004381822448,0.9620680531579173,0.9295549558647036,0.07349738054135725,0.13382615887840077,-0.0015923344809177786,persistent_steady
persistent_case,0.1584375,195.0,4.004006638322142,1.0632191098669268,0.11162121428491083,1.599440918477598,0.9609325750002813,0.927446210714808,0.07330272714290535,0.13128809994634327,-0.0016380452356931086,persistent_steady
persistent_case,0.1584375,200.0,4.021709705583845,1.0544267802251412,0.11488475117348039,1.5905301808576806,0.9597903370892819,0.9253249117372377,0.07310691492959118,0.12869184384615373,-0.0016834600168263714,persistent_steady
persistent_case,0.1584375,205.0,4.039719197702868,1.0454708329267324,0.11816261910169319,1.5814766360370665,0.9586430833144073,0.9231942975838994,0.0729102428538984,0.12603921878940283,-0.001728428502699636,persistent_steady
persistent_case,0.1584375,210.0,4.058017841733676,1.036359409785955,0.1214496647279439,1.572289415147036,0.9574926173452196,0.9210577179268364,0.07271302011632337,0.12333232105940817,-0.001772791807052615,persistent_steady
persistent_case,0.1584375,215.0,4.076586863870242,1.0271014494953405,0.12474058879052699,1.5629783533010846,0.9563407939233156,0.9189186172861574,0.07251556467256838,0.12057351851659182,-0.0018163835567610587,persistent_steady
persistent_case,0.1584375,220.0,4.095406020531589,1.0177066779082289,0.12802997293941848,1.5535539682268487,0.9551895094712035,0.916780517589378,0.07231820162363488,0.11776545176095188,-0.0018590308869845806,persistent_steady
persistent_case,0.1584375,225.0,4.114453648691289,1.0081855886216868,0.13131230834155716,1.5440274293536909,0.9540406920804549,0.9146469995779878,0.07212126149950657,0.11491103233030464,-0.0019005552108479484,persistent_steady
persistent_case,0.1584375,230.0,4.133706729689214,0.9985494163583788,0.13458202583360782,1.5344105206190741,0.9528962909582372,0.912521683208155,0.07192507844998354,0.11201343841627032,-0.0019407730574087512,persistent_steady
persistent_case,0.1584375,235.0,4.153140966743724,0.9888101029596942,0.1378335275758685,1.524715596963249,0.951758265348446,0.9104082070756855,0.0717299883454479,0.10907610798666412,-0.001979497067562258,persistent_steady
