case_label,stress,q0,w0_scale,time,mean_n,mean_w,mean_q,var_n,var_w,var_q,min_n,min_w,min_q,max_q,min_z
persistent_case,0.1584375,0.1,0.1,0.0,4.8333333333389445,0.06416666666634452,0.1,2.28218232991005e-09,4.1379427338396403e-13,1.017153037911487e-10,4.833170805379261,0.06416430520031438,0.09995974477421088,0.10003355817127293,1.7689932480890977
persistent_case,0.1584375,0.1,0.1,5.0,5.955181873964129,0.07239125594419932,0.0957361510450361,4.0636155401550444e-13,1.055765943864925e-13,2.0466178065299604e-11,5.955179671482853,0.0723899324007256,0.0957159916768206,0.09575164846123523,0.6390909760025809
persistent_case,0.1584375,0.1,0.1,10.0,5.9484264285849155,0.07618572912777599,0.09199410385214343,1.4083224127288497e-13,1.1803885275733444e-13,8.305674226545432e-12,5.948425343020499,0.07618443988420677,0.09198209162852143,0.09200423551519733,0.6420534726964264
persistent_case,0.1584375,0.1,0.1,15.0,5.940360596556522,0.0806278743236089,0.0884146552305855,2.2418642747844211e-13,1.6488836996643377e-13,4.756834680297637e-12,5.940359308428042,0.08062615623935573,0.08840661191006544,0.08842282658043985,0.6456776334864038
persistent_case,0.1584375,0.1,0.1,20.0,5.9307473229154795,0.08583849012500253,0.08499502803155345,4.4487094450153846e-13,2.368325141216264e-13,3.192549858744548e-12,5.930745623209493,0.08583627592725275,0.0849892050150833,0.08500212546064523,0.6500799652733369
persistent_case,0.1584375,0.1,0.1,25.0,5.919280267911866,0.09197363343883055,0.08173290234621305,7.962690973735357e-13,3.397155203961417e-13,2.324233598756218e-12,5.919278080599503,0.09197088152671472,0.08172825955531064,0.08173928120962506,0.6554112327133303
persistent_case,0.1584375,0.1,0.1,30.0,5.90555891000539,0.09923732386562498,0.07862656454209849,1.3203608504887708e-12,4.86852116008605e-13,1.7749957814384502e-12,5.905556066042581,0.09923398705490136,0.07862273819307308,0.07863236082527247,0.6618682021220943
persistent_case,0.1584375,0.1,0.1,35.0,5.889052327652526,0.10790004419453114,0.07567510708681285,2.1006758298266913e-12,7.011603583078168e-13,1.3984950085975338e-12,5.889048626166282,0.10789599660303081,0.07567189277295171,0.07568038251795775,0.6697112833091743
persistent_case,0.1584375,0.1,0.1,40.0,5.869045495009491,0.11832620324480583,0.07287870545550489,3.2830825037200546e-12,1.0214329350468478e-12,1.1260526966642352e-12,5.869040769680488,0.1183213046357149,0.07287595676761488,0.0728835108648415,0.6792910505334254
persistent_case,0.1584375,0.1,0.1,45.0,5.8445580185068495,0.13101574164804738,0.07023901353403611,5.1227318367284834e-12,1.5148735167025622e-12,9.210202164809725e-13,5.84455201311715,0.13100979396372037,0.07023655913297436,0.07024339400675428,0.6910878991962103
persistent_case,0.1584375,0.1,0.1,50.0,5.814218589677723,0.14666849499077722,0.06775974446431171,8.078834264016498e-12,2.3020045638912405e-12,7.619616150676365e-13,5.814210948156621,0.14666121558605463,0.06775752027099642,0.0677637433422386,0.7057732203486698
persistent_case,0.1584375,0.1,0.1,55.0,5.776067116323336,0.16628577881983286,0.06544754756664335,1.3009393144602681e-11,3.6077340515339797e-12,6.354258299806871e-13,5.7760573101518276,0.16627675903610345,0.06544551174358303,0.06545123007318523,0.7243056699195669
