stress,n_star,w_star,q_star,max_real_eigenvalue_analytic,eigenvalues_real_analytic,eigenvalues_imag_analytic,stability_label_analytic,max_real_eigenvalue_finite_difference,abs_delta_max_real,trace,determinant,notes
0.0,4.833333333333334,0.6416666666666666,0.672614741580259,-0.012273491305362818,-3.85977177;-0.0747301805;-0.0122734913,0;0;0,stable,-0.012273491307157115,1.7942973495888026e-12,-3.946775446775447,-0.0035401835232668527,analytic_jacobian_compared_to_local_finite_difference
0.069448242,4.833333333333334,0.6416666666666666,0.47165527594244855,-0.022382505397250202,-4.25972496;-0.0420196171;-0.0223825054,0;0;0,stable,-0.022382505385972445,1.1277756506444803e-11,-4.324127083376846,-0.004006289666361718,analytic_jacobian_compared_to_local_finite_difference
0.11765625,4.833333333333334,0.6416666666666666,0.3321577847439918,-0.023581704072263975,-4.53890509;-0.0235817041;-0.0235817041,0;0.0151533044;-0.0151533044,stable,-0.023581704070513097,1.7508772209851031e-12,-4.586068497474748,-0.0035663057876398545,analytic_jacobian_compared_to_local_finite_difference
0.1584375,4.833333333333334,0.6416666666666666,0.21415079173699889,-0.015893894916853914,-4.77586834;-0.0158938949;-0.0158938949,0;0.0177170294;-0.0177170294,stable,-0.015893894931735295,1.488138084981827e-11,-4.807656128593628,-0.002705572520662693,analytic_jacobian_compared_to_local_finite_difference
0.16486816,4.833333333333334,0.6416666666666666,0.19554266055783315,-0.01465247062034078,-4.81329261;-0.0146524706;-0.0146524706,0;0.0176272574;-0.0176272574,stable,-0.014652470624314037,3.97325748691113e-12,-4.842597546915307,-0.0025289766133256334,analytic_jacobian_compared_to_local_finite_difference
0.175,4.833333333333334,0.6416666666666666,0.16622458001768367,-0.012681581449417077,-4.87228641;-0.0126815814;-0.0126815814,0;0.0172188458;-0.0172188458,stable,-0.012681581447524258,1.8928192346834294e-12,-4.8976495726495735,-0.002228150937796774,analytic_jacobian_compared_to_local_finite_difference
