parameter_set_label,r_v,a_v,b_u,b_v,stress,q0,w0_scale,classification,basin_label,tail_mean_w,tail_mean_q,q_change,selection_gradient_tail_mean,predator_growth_factor_tail_mean,physical,notes
current,0.65,0.35,0.08,0.02,0.1584375,0.3,0.05,declining_transient,transient_basin,0.6417038992187218,0.21414233201990107,-0.08585766798009892,1.2164071202006262e-05,9.070361401138009e-07,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.3,0.1,persistent_steady,persistent_basin,0.6416649057578716,0.2141513503839415,-0.08584864961605848,-5.803130817632145e-07,-9.422562968010015e-08,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.3,0.2,persistent_steady,persistent_basin,0.6416668106440182,0.21415076403404346,-0.08584923596595653,4.6880248616569205e-08,1.8892314132854278e-09,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.3,0.5,persistent_steady,persistent_basin,0.6416666615786659,0.21415079219513913,-0.08584920780486086,-1.6402403461520433e-09,1.017363576784867e-10,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.3,1.0,persistent_steady,persistent_basin,0.6416666641157461,0.21415079174128715,-0.08584920825871284,-3.397566713566654e-10,-2.0828098368093677e-10,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.3,1.5,persistent_steady,persistent_basin,0.6416666615219278,0.21415079190045727,-0.08584920809954272,-1.6490598303896144e-09,1.9985595962804626e-10,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.4,0.02,declining_transient,transient_basin,0.8095152244113413,0.17962236177069268,-0.22037763822930734,0.05278664852793151,-0.0014070013133590377,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.4,0.05,declining_transient,transient_basin,0.6662164236851285,0.2114966378093806,-0.18850336219061942,0.007858490527758362,-0.0005675554838752715,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.4,0.1,declining_transient,transient_basin,0.6415872664310579,0.2143172185377247,-0.18568278146227532,-3.076713502905117e-05,-5.0669139089344736e-05,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.4,0.2,declining_transient,transient_basin,0.641530661275579,0.2141463746590704,-0.1858536253409296,-4.3323453935585056e-05,8.086004988059775e-06,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.4,0.5,declining_transient,transient_basin,0.6416820067254724,0.2141504351879617,-0.18584956481203832,4.912848191812659e-06,-6.384419958500641e-07,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.4,1.0,persistent_steady,persistent_basin,0.6416694365995784,0.21415134859002882,-0.1858486514099712,8.67474862032829e-07,-3.162506228344192e-07,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.4,1.5,persistent_steady,persistent_basin,0.6416746146109077,0.21415106766819375,-0.18584893233180627,2.5308756285071897e-06,-4.798017306298329e-07,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.5,0.02,recovery_transient,transient_basin,1.2434125410399974,0.03267071464842271,-0.4673292853515773,0.18232018190769328,-0.0004756982315946787,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.5,0.05,declining_transient,transient_basin,1.0914402842316564,0.09316752514278426,-0.40683247485721574,0.13825378906424857,-0.0012681611303037319,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.5,0.1,declining_transient,transient_basin,0.9262095568800158,0.14677549028031245,-0.35322450971968755,0.08853474602024798,-0.0015584635086947204,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.5,0.2,declining_transient,transient_basin,0.7839195170658882,0.18621753556284912,-0.31378246443715085,0.044864851799770816,-0.0013318169047380492,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.5,0.5,declining_transient,transient_basin,0.6893614923931592,0.20750678698405559,-0.29249321301594444,0.015226631655677593,-0.0008182198982821346,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.5,1.0,declining_transient,transient_basin,0.6759730641750574,0.2099097992869695,-0.2900902007130305,0.010970698592212636,-0.0006856029428656437,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.5,1.5,declining_transient,transient_basin,0.6831526999439173,0.20864978572281323,-0.29135021427718677,0.01325507712359949,-0.0007601866083105211,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.6,0.02,recovery_transient,transient_basin,1.3085636413596125,0.0004462928325457689,-0.5995537071674543,0.2000985915158694,-6.260048569848462e-06,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.6,0.05,recovery_transient,transient_basin,1.3053247639718761,0.002191149752342896,-0.5978088502476571,0.19924091027236246,-3.098249563794876e-05,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.6,0.1,recovery_transient,transient_basin,1.2969137388467376,0.006641372849808678,-0.5933586271501913,0.19699889063911605,-9.453125389842618e-05,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.6,0.2,recovery_transient,transient_basin,1.2766892895025734,0.01690738870186353,-0.5830926112981365,0.19152831347173838,-0.0002436270515113597,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.6,0.5,recovery_transient,transient_basin,1.2343417134172776,0.03676074740084473,-0.5632392525991552,0.17977243046681524,-0.0005357697331026164,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.6,1.0,recovery_transient,transient_basin,1.220538577482526,0.0428361047119715,-0.5571638952880285,0.17586875564885485,-0.0006243629951923997,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.6,1.5,recovery_transient,transient_basin,1.2283228166405362,0.03943120793959053,-0.5605687920604094,0.17807403910761893,-0.0005748263008629452,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.7,0.02,recovery_transient,transient_basin,0.46270812423369895,4.5947232300471535e-06,-0.69999540527677,-0.053205692518882505,0.014816238296754842,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.7,0.05,recovery_transient,transient_basin,0.7230710212461663,8.903661341642216e-06,-0.6999910963386583,0.024902046555800923,0.012467107047635541,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.7,0.1,recovery_transient,transient_basin,0.9054029840223758,2.094522159904176e-05,-0.6999790547784009,0.07959984308241504,0.010619500829448127,True,current_parameterization;window_change_indicates_transient
