shape_label,gamma_r,gamma_a,gamma_b,stress,baseline_state,perturbation_type,seed,T,classification,basin_label,homogeneous_control_basin_label,basin_changed_relative_to_control,tail_mean_w,tail_mean_q,relative_change_between_last_windows,normalized_residual,initial_cv_n,initial_cv_w,initial_cv_q,final_cv_n,final_cv_w,final_cv_q,max_cv_n,max_cv_w,max_cv_q,spatial_pattern_persisted,physical,notes
linear_reference,1.0,1.0,1.0,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,0.6416666666666663,0.21415079173699997,0.0,1.2624470762467927e-16,0.0,3.460435401429061e-16,0.0,0.0,3.460435401429061e-16,0.0,0.0,3.460435401429061e-16,0.0,False,True,targeted_nonlinear_pde
linear_reference,1.0,1.0,1.0,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,0.6416666666666201,0.214150791737003,-8.478066733501092e-14,6.930761025970815e-16,0.0,3.460435401429061e-16,0.14448839308821412,1.9803788863344113e-15,7.763026443140781e-15,3.9685939136621804e-15,0.04299309369797774,0.1851739095298631,0.14448839308821412,False,True,targeted_nonlinear_pde
linear_reference,1.0,1.0,1.0,0.1584375,compensation_branch_state,random_heterogeneity,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,0.6416666666666532,0.2141507917370023,-5.173350925136285e-14,6.820322493759164e-16,0.027386946627133934,0.028988989453262136,0.11447270743340449,6.687843392984586e-15,2.580165023230206e-14,1.0599223478543583e-14,0.027386946627133934,0.09429343993149623,0.11447270743340449,False,True,targeted_nonlinear_pde
linear_reference,1.0,1.0,1.0,0.1584375,basin_boundary_state,homogeneous_control,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,1.3093869639070337,0.0,0.0,3.5841101374310285e-16,1.8376105235153676e-16,0.0,0.0,2.5391814043774e-16,1.6957905573038564e-16,0.0,3.808771801204406e-16,3.403089017069604e-16,0.0,False,True,targeted_nonlinear_pde
linear_reference,1.0,1.0,1.0,0.1584375,basin_boundary_state,basin_boundary_heterogeneity,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,0.641666666666674,0.21415079173699483,-1.9936312337269323e-10,6.838715302804884e-16,0.06846736656783484,0.07247247363315533,1.5094256607280394,3.584676975003123e-15,1.397966041511144e-14,6.7362406740711146e-15,0.06846736656783484,0.17597685244804676,1.5094256607280394,False,True,targeted_nonlinear_pde
all_concave,0.5,0.5,0.5,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,0.6416666666666474,0.04586056160158335,0.0,6.699786954338853e-16,0.0,3.460435401429061e-16,3.026083266980585e-16,0.0,1.730217700714582e-16,3.0260832670080783e-16,3.6752210470349304e-16,3.4604354014312644e-16,3.0260832670106554e-16,False,True,targeted_nonlinear_pde
all_concave,0.5,0.5,0.5,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,0.641666666666677,0.04586056160158399,-4.399943612915042e-13,7.423336676606364e-16,0.0,3.460435401429061e-16,0.5634601271751858,3.580118099961002e-15,1.3994431962436494e-14,1.3779167715388593e-14,0.05788044629836353,0.2628657087935707,0.5634601271751858,False,True,targeted_nonlinear_pde
all_concave,0.5,0.5,0.5,0.1584375,compensation_branch_state,random_heterogeneity,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,0.64166666666668,0.04586056160158357,4.360148605800714e-14,6.8410162533846e-16,0.027386946627133934,0.028988989453262136,0.5255249895601569,4.976125926064896e-15,1.931405043564068e-14,1.6131882427092076e-14,0.05073876373126789,0.1928782037755069,0.5255249895601569,False,True,targeted_nonlinear_pde
all_concave,0.5,0.5,0.5,0.1584375,basin_boundary_state,homogeneous_control,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,1.3093869639070337,0.0,0.0,3.5841101374310285e-16,1.8376105235153676e-16,0.0,0.0,2.5391814043774e-16,1.6957905573038564e-16,0.0,3.808771801204406e-16,3.403089017069604e-16,0.0,False,True,targeted_nonlinear_pde
all_concave,0.5,0.5,0.5,0.1584375,basin_boundary_state,basin_boundary_heterogeneity,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,0.64166666666665,0.045860561601583236,-1.0310367278547521e-12,8.377819824049915e-16,0.06846736656783484,0.07247247363315533,1.5094256607280394,2.2129251153360675e-16,8.233105643694849e-16,1.749471959869104e-15,0.1615204722132163,0.5296575842890103,1.8484253024353858,False,True,targeted_nonlinear_pde
