run_id,scenario,evolve,stress,time,n,w,q,z,r_q,a_q,b_q,selection_gradient
TS_001,unstressed,False,0.0,0.0,4.833333333280863,0.6416666666967904,0.6726147415697105,1.1916666666890134,0.7645848404506014,0.5628004179796882,0.039643115505817374,1.175909369877104e-11
TS_001,unstressed,False,0.0,3.0,4.833333333019922,0.6416666666833836,0.6726147415697105,1.191666666963361,0.7645848404506014,0.5628004179796882,0.039643115505817374,-9.297701497601452e-11
TS_001,unstressed,False,0.0,6.0,4.833333332729777,0.641666666668608,0.6726147415697105,1.191666667268282,0.7645848404506014,0.5628004179796882,0.039643115505817374,-2.0930346344982809e-10
TS_001,unstressed,False,0.0,9.0,4.833333332439631,0.6416666666538325,0.6726147415697105,1.1916666675732035,0.7645848404506014,0.5628004179796882,0.039643115505817374,-3.2563007845709535e-10
TS_001,unstressed,False,0.0,12.0,4.833333332149485,0.6416666666390571,0.6726147415697105,1.1916666678781245,0.7645848404506014,0.5628004179796882,0.039643115505817374,-4.4195636039745523e-10
TS_001,unstressed,False,0.0,15.0,4.83333333185934,0.6416666666242816,0.6726147415697105,1.1916666681830457,0.7645848404506014,0.5628004179796882,0.039643115505817374,-5.582829198935713e-10
TS_001,unstressed,False,0.0,18.0,4.833333331569194,0.6416666666095061,0.6726147415697105,1.1916666684879669,0.7645848404506014,0.5628004179796882,0.039643115505817374,-6.746094238785361e-10
TS_001,unstressed,False,0.0,21.0,4.833333331279048,0.6416666665947306,0.6726147415697105,1.191666668792888,0.7645848404506014,0.5628004179796882,0.039643115505817374,-7.909359278635009e-10
TS_001,unstressed,False,0.0,24.0,4.833333330988903,0.6416666665799551,0.6726147415697105,1.1916666690978093,0.7645848404506014,0.5628004179796882,0.039643115505817374,-9.072623763373144e-10
TS_001,unstressed,False,0.0,27.0,4.833333330698757,0.6416666665651796,0.6726147415697105,1.1916666694027305,0.7645848404506014,0.5628004179796882,0.039643115505817374,-1.0235888803222792e-09
TS_001,unstressed,False,0.0,30.0,4.833333330408611,0.6416666665504042,0.6726147415697105,1.1916666697076517,0.7645848404506014,0.5628004179796882,0.039643115505817374,-1.139915384307244e-09
TS_001,unstressed,False,0.0,33.0,4.8333333301184656,0.6416666665356286,0.6726147415697105,1.1916666700125726,0.7645848404506014,0.5628004179796882,0.039643115505817374,-1.2562417217587551e-09
TS_001,unstressed,False,0.0,36.0,4.833333333368152,0.641666666630916,0.6726147415697105,1.1916666666675986,0.7645848404506014,0.5628004179796882,0.039643115505817374,-2.356409511961033e-11
TS_001,unstressed,False,0.0,39.0,4.8333333333736785,0.641666666644624,0.6726147415697105,1.1916666666483644,0.7645848404506014,0.5628004179796882,0.039643115505817374,-7.921940881061573e-12
TS_001,unstressed,False,0.0,42.0,4.833333333356034,0.6416666666545071,0.6726147415697105,1.191666666656126,0.7645848404506014,0.5628004179796882,0.039643115505817374,-4.2144621126283255e-12
TS_001,unstressed,False,0.0,45.0,4.83333333334599,0.6416666666601545,0.6726147415697105,1.191666666660523,0.7645848404506014,0.5628004179796882,0.039643115505817374,-2.0825563495918686e-12
TS_001,unstressed,False,0.0,48.0,4.833333333341659,0.6416666666625905,0.6726147415697105,1.1916666666624176,0.7645848404506014,0.5628004179796882,0.039643115505817374,-1.1622924844800764e-12
TS_001,unstressed,False,0.0,51.0,4.833333333337328,0.6416666666650266,0.6726147415697105,1.1916666666643123,0.7645848404506014,0.5628004179796882,0.039643115505817374,-2.4202861936828413e-13
TS_001,unstressed,False,0.0,54.0,4.833333333332997,0.6416666666674626,0.6726147415697105,1.191666666666207,0.7645848404506014,0.5628004179796882,0.039643115505817374,6.782907568947394e-13
TS_001,unstressed,False,0.0,57.0,4.8333333333286665,0.6416666666698987,0.6726147415697105,1.1916666666681017,0.7645848404506014,0.5628004179796882,0.039643115505817374,1.598610133157763e-12
TS_001,unstressed,False,0.0,60.0,4.833333333324336,0.6416666666723347,0.6726147415697105,1.1916666666699964,0.7645848404506014,0.5628004179796882,0.039643115505817374,2.518873998269555e-12
TS_001,unstressed,False,0.0,63.0,4.833333333320005,0.6416666666747707,0.6726147415697105,1.1916666666718911,0.7645848404506014,0.5628004179796882,0.039643115505817374,3.439082352230116e-12
TS_001,unstressed,False,0.0,66.0,4.833333333315674,0.6416666666772067,0.6726147415697105,1.191666666673786,0.7645848404506014,0.5628004179796882,0.039643115505817374,4.359290706190677e-12
TS_001,unstressed,False,0.0,69.0,4.8333333333113435,0.6416666666796428,0.6726147415697105,1.1916666666756806,0.7645848404506014,0.5628004179796882,0.039643115505817374,5.279665593604932e-12
TS_001,unstressed,False,0.0,72.0,4.833333333307012,0.6416666666820788,0.6726147415697105,1.1916666666775764,0.7645848404506014,0.5628004179796882,0.039643115505817374,6.199540880658105e-12
TS_001,unstressed,False,0.0,75.0,4.833333333304432,0.64166666668353,0.6726147415697105,1.1916666666787052,0.7645848404506014,0.5628004179796882,0.039643115505817374,6.7477134990667764e-12
TS_001,unstressed,False,0.0,78.0,4.833333333303222,0.6416666666842106,0.6726147415697105,1.1916666666792344,0.7645848404506014,0.5628004179796882,0.039643115505817374,7.004896662721194e-12
TS_001,unstressed,False,0.0,81.0,4.833333333302012,0.6416666666848911,0.6726147415697105,1.1916666666797635,0.7645848404506014,0.5628004179796882,0.039643115505817374,7.2620798263756114e-12
TS_001,unstressed,False,0.0,84.0,4.833333333300802,0.6416666666855718,0.6726147415697105,1.1916666666802933,0.7645848404506014,0.5628004179796882,0.039643115505817374,7.519040945425104e-12
TS_001,unstressed,False,0.0,87.0,4.833333333299592,0.6416666666862524,0.6726147415697105,1.1916666666808227,0.7645848404506014,0.5628004179796882,0.039643115505817374,7.77616859792829e-12
TS_001,unstressed,False,0.0,90.0,4.833333333298382,0.641666666686933,0.6726147415697105,1.1916666666813516,0.7645848404506014,0.5628004179796882,0.039643115505817374,8.033407272733939e-12
TS_001,unstressed,False,0.0,93.0,4.833333333297172,0.6416666666876135,0.6726147415697105,1.1916666666818818,0.7645848404506014,0.5628004179796882,0.039643115505817374,8.290201858329738e-12
TS_001,unstressed,False,0.0,96.0,4.833333333295962,0.6416666666882942,0.6726147415697105,1.1916666666824107,0.7645848404506014,0.5628004179796882,0.039643115505817374,8.547496044286618e-12
TS_001,unstressed,False,0.0,99.0,4.833333333294752,0.6416666666889748,0.6726147415697105,1.1916666666829399,0.7645848404506014,0.5628004179796882,0.039643115505817374,8.804679207941035e-12
TS_001,unstressed,False,0.0,102.0,4.833333333293543,0.6416666666896553,0.6726147415697105,1.191666666683469,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.061862371595453e-12
TS_001,unstressed,False,0.0,105.0,4.83333333329307,0.641666666689921,0.6726147415697105,1.191666666683676,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.162115510719104e-12
TS_001,unstressed,False,0.0,108.0,4.833333333293025,0.6416666666899464,0.6726147415697105,1.1916666666836957,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.171718939882112e-12
TS_001,unstressed,False,0.0,111.0,4.83333333329298,0.6416666666899719,0.6726147415697105,1.1916666666837146,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.181655435952507e-12
TS_001,unstressed,False,0.0,114.0,4.833333333292935,0.6416666666899973,0.6726147415697105,1.1916666666837346,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.191147842813052e-12
TS_001,unstressed,False,0.0,117.0,4.83333333329289,0.6416666666900227,0.6726147415697105,1.1916666666837545,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.200695760824829e-12
TS_001,unstressed,False,0.0,120.0,4.8333333332928445,0.6416666666900481,0.6726147415697105,1.1916666666837743,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.210354701139067e-12
TS_001,unstressed,False,0.0,123.0,4.833333333292799,0.6416666666900734,0.6726147415697105,1.1916666666837943,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.219791596848381e-12
TS_001,unstressed,False,0.0,126.0,4.833333333292754,0.6416666666900989,0.6726147415697105,1.191666666683814,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.229395026011389e-12
TS_001,unstressed,False,0.0,129.0,4.8333333332927095,0.6416666666901243,0.6726147415697105,1.1916666666838331,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.239220499779321e-12
TS_001,unstressed,False,0.0,132.0,4.833333333292664,0.6416666666901497,0.6726147415697105,1.1916666666838531,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.248768417791098e-12
TS_001,unstressed,False,0.0,135.0,4.833333333292619,0.6416666666901751,0.6726147415697105,1.1916666666838729,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.258371846954105e-12
TS_001,unstressed,False,0.0,138.0,4.833333333292574,0.6416666666902004,0.6726147415697105,1.1916666666838929,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.26780874266342e-12
TS_001,unstressed,False,0.0,141.0,4.833333333292528,0.6416666666902259,0.6726147415697105,1.1916666666839126,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.277412171826427e-12
TS_001,unstressed,False,0.0,144.0,4.833333333292483,0.6416666666902513,0.6726147415697105,1.1916666666839326,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.286960089838203e-12
TS_001,unstressed,False,0.0,147.0,4.833333333292438,0.6416666666902767,0.6726147415697105,1.1916666666839526,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.296452496698748e-12
TS_001,unstressed,False,0.0,150.0,4.833333333292393,0.6416666666903021,0.6726147415697105,1.1916666666839715,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.306388992769143e-12
TS_001,unstressed,False,0.0,153.0,4.833333333292348,0.6416666666903276,0.6726147415697105,1.1916666666839912,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.316047933083382e-12
TS_001,unstressed,False,0.0,156.0,4.833333333292303,0.6416666666903529,0.6726147415697105,1.1916666666840112,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.325484828792696e-12
TS_001,unstressed,False,0.0,159.0,4.8333333332922574,0.6416666666903783,0.6726147415697105,1.1916666666840312,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.335032746804472e-12
TS_001,unstressed,False,0.0,162.0,4.833333333292212,0.6416666666904037,0.6726147415697105,1.1916666666840512,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.344580664816249e-12
TS_001,unstressed,False,0.0,165.0,4.833333333292167,0.6416666666904292,0.6726147415697105,1.191666666684071,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.354128582828025e-12
TS_001,unstressed,False,0.0,168.0,4.8333333332921224,0.6416666666904546,0.6726147415697105,1.1916666666840898,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.36406507889842e-12
TS_001,unstressed,False,0.0,171.0,4.833333333292077,0.6416666666904799,0.6726147415697105,1.1916666666841098,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.373501974607734e-12
TS_001,unstressed,False,0.0,174.0,4.833333333292032,0.6416666666905053,0.6726147415697105,1.1916666666841298,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.38304989261951e-12
TS_001,unstressed,False,0.0,177.0,4.8333333332919866,0.6416666666905307,0.6726147415697105,1.1916666666841498,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.392597810631287e-12
TS_001,unstressed,False,0.0,180.0,4.833333333291941,0.6416666666905562,0.6726147415697105,1.1916666666841695,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.402201239794294e-12
TS_001,unstressed,False,0.0,183.0,4.833333333291896,0.6416666666905816,0.6726147415697105,1.1916666666841893,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.411804668957302e-12
TS_001,unstressed,False,0.0,186.0,4.8333333332918516,0.6416666666906069,0.6726147415697105,1.1916666666842084,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.421630142725235e-12
TS_001,unstressed,False,0.0,189.0,4.833333333291806,0.6416666666906323,0.6726147415697105,1.1916666666842284,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.43112254958578e-12
TS_001,unstressed,False,0.0,192.0,4.833333333291761,0.6416666666906577,0.6726147415697105,1.1916666666842484,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.440670467597556e-12
TS_001,unstressed,False,0.0,195.0,4.833333333291716,0.6416666666906832,0.6726147415697105,1.1916666666842681,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.450273896760564e-12
TS_001,unstressed,False,0.0,198.0,4.83333333329167,0.6416666666907086,0.6726147415697105,1.191666666684288,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.45982181477234e-12
TS_001,unstressed,False,0.0,201.0,4.833333333291625,0.641666666690734,0.6726147415697105,1.1916666666843079,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.469369732784116e-12
TS_001,unstressed,False,0.0,204.0,4.83333333329158,0.6416666666907593,0.6726147415697105,1.1916666666843279,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.47880662849343e-12
TS_001,unstressed,False,0.0,207.0,4.833333333291535,0.6416666666907848,0.6726147415697105,1.191666666684347,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.488687613412594e-12
TS_001,unstressed,False,0.0,210.0,4.83333333329149,0.6416666666908102,0.6726147415697105,1.1916666666843667,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.498291042575602e-12
TS_001,unstressed,False,0.0,213.0,4.833333333291445,0.6416666666908356,0.6726147415697105,1.1916666666843865,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.50794998288984e-12
TS_001,unstressed,False,0.0,216.0,4.8333333332913995,0.641666666690861,0.6726147415697105,1.1916666666844065,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.517442389750386e-12
TS_001,unstressed,False,0.0,219.0,4.833333333291354,0.6416666666908863,0.6726147415697105,1.1916666666844264,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.52693479661093e-12
TS_001,unstressed,False,0.0,222.0,4.833333333291309,0.6416666666909118,0.6726147415697105,1.1916666666844464,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.536427203471476e-12
TS_001,unstressed,False,0.0,225.0,4.8333333332912645,0.6416666666909372,0.6726147415697105,1.1916666666844653,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.546363699541871e-12
TS_001,unstressed,False,0.0,228.0,4.833333333291219,0.6416666666909626,0.6726147415697105,1.191666666684485,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.555967128704879e-12
TS_001,unstressed,False,0.0,231.0,4.833333333291174,0.641666666690988,0.6726147415697105,1.191666666684505,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.565459535565424e-12
TS_001,unstressed,False,0.0,234.0,4.833333333291129,0.6416666666910135,0.6726147415697105,1.191666666684525,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.5750074535772e-12
TS_001,unstressed,False,0.0,237.0,4.833333333291083,0.6416666666910388,0.6726147415697105,1.191666666684545,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.584499860437745e-12
TS_001,unstressed,False,0.0,240.0,4.833333333291038,0.6416666666910642,0.6726147415697105,1.1916666666845648,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.594103289600753e-12
TS_001,unstressed,False,0.0,243.0,4.833333333290994,0.6416666666910896,0.6726147415697105,1.1916666666845837,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.604039785671148e-12
TS_001,unstressed,False,0.0,246.0,4.833333333290948,0.641666666691115,0.6726147415697105,1.1916666666846036,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.613587703682924e-12
TS_001,unstressed,False,0.0,249.0,4.833333333290903,0.6416666666911405,0.6726147415697105,1.1916666666846236,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.62308011054347e-12
TS_001,unstressed,False,0.0,252.0,4.833333333290858,0.6416666666911658,0.6726147415697105,1.1916666666846436,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.632572517404014e-12
TS_001,unstressed,False,0.0,255.0,4.833333333290812,0.6416666666911912,0.6726147415697105,1.1916666666846634,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.64212043541579e-12
TS_001,unstressed,False,0.0,258.0,4.833333333290767,0.6416666666912166,0.6726147415697105,1.1916666666846831,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.651723864578798e-12
TS_001,unstressed,False,0.0,261.0,4.833333333290722,0.6416666666912421,0.6726147415697105,1.1916666666847031,0.7645848404506014,0.5628004179796882,0.039643115505817374,9.661271782590575e-12
